titulo;autor;texto
BLOCO I;Júlio Dinis;"Capítulo I 
José das Dornas era um lavrador abastado, sadio e de uma tão feliz 
disposição de gênio, que tudo levava a rir; mas desse rir natural, 
sincero e despreocupado, que lhe fazia bem, e não do rir dos 
Demócritos de todos os tempos - rir céptico, forçado, desconsolador, 
que é mil vezes pior do que o chorar. 
Em negócio de lavoura, dava, como se costuma dizer, sota e ás ao 
mais pintado. Até o Sr. Morais Soares teria que aprender com ele. 
Apesar dos seus sessenta anos, desafiava em robustez e atividade 
qualquer rapaz de vinte. Era-lhe familiar o canto matinal do galo, e o 
amanhecer já não tinha para ele segredos não revelados. O sol 
encontrava-o sempre de pé, e em pé o deixava ao esconder-se. 
Estas qualidades, juntas a uma longa experiência adquirida à custa 
de muito sol e muita chuva em campo descoberto, faziam dele um 
lavrador consumado, o que, diga-se a verdade, era confessado por 
todos, sem esforço de malquerenças e murmurações. Diz-se que 
quem mais faz menos merece e que mais vale quem Deus ajuda do 
que quem muito madruga, e não sei o que mais; será assim; mas 
desta vez parecia que se desmentira o ditado, ou pelo menos que o 
fato das madrugadas não excl"
BLOCO II;Júlio Dinis;"uíra o auxílio providencial, porque 
José das Dornas prosperava a olhos vistos. Ali por fins de agosto era 
um tal de entrar de carros de milho pelas portas do quinteiro dentro! 
S. Miguel mais farto poucos se gabavam de ter. Que abundância por 
aquela casa! Ninguém era pobre com ele; louvado Deus! 
Como homem de família, não havia também que por a boca em José 
das Dornas. Em perfeita e exemplar harmonia vivera vinte anos com 
sua mulher, e então, como depois que viuvara, manifestou sempre 
pelos filhos uma solicitude, não revelada por meiguices - que lhe 
não estavam no gênio - mas que, nas ocasiões, se denunciava por 
sacrifícios de fazerem hesitar os mais extremosos. 
Eram dois estes filhos - Pedro e Daniel. Pedro, que era o mais velho, 
não podia negar a paternidade. Ver o pai era vê-lo a ele; a mesma 
expressão de franqueza no rosto, a mesma robustez de compleição, a 
mesma excelência de musculatura, o mesmo tipo, apenas um pouco 
mais elegante, porque a idade não viera ainda curvatura de certos 
contornos e ampliar-lhe as dimensões transversais, como já no pai 
acontecia. Conservava-se ainda correto aquele vivo exemplar do 
Hércules escultural. 
Pedro era, de fato, o tipo de beleza masculina, como a 
compreendiam os antigos. O gosto moderno tem-se modificado, ao 
que parece, exig"
BLOCO III;Júlio Dinis;"indo nos seus tipos de adoção o que quer que seja de 
franzino e delicado, que não foi por certo o característico dos mais 
perfeitos homens de outras eras. 
A organização talhara Pedro para a vida de lavrador, e parecia 
apontá-lo para suceder ao pai no amanho das terras e na direção dos 
trabalhos agrícolas. 
Assim o entendera José das Dornas, que foi amestrando o seu 
primogênito e preparando-o para um dia abdicar nele a enxada, a 
foice, a vara, a rabiça, e confiar-lhe a chave do cabanal, tão repleto 
em ocasiões de colheita. 
Daniel já tinha condições físicas e morais muito diferentes. Era o 
avesso do irmão e por isso incapaz de tomar o mesmo rumo de vida. 
Possuía uma constituição quase de mulher. Era alvo e louro, de voz 
efeminada, mãos estreitas e saúde vacilante. 
O sangue materno girava-lhe mais abundante nas veias, do que o 
sangue cheio de força e vida, ao qual José das Dornas e Pedro 
deviam aquela invejável construção. 
Votar Daniel à vida dos campos seria sacrificá-lo. Apertava-se o 
coração do pobre pai, ao lembrar-se que os sóis ardentes de julho ou 
os tufões regelados de dezembro haviam de encontrar sem abrigo 
aquela débil criança, que mais se dissera nascida e criada em berços 
almofadados e sob cortinados de cambraia, do que no le"
BLOCO IV;Júlio Dinis;"ito de pinho 
e na grosseira enxerga aldeã. 
E desde então, desde que pensou nisto, um idéia fixa principiou a 
laborara no cérebro daquele pai extremoso e a monopolizar-lhe as 
poucas horas que o trabalho não absorvia. 
De vez em quando o encontravam os amigos deveras preocupado, o 
que, sendo nele para estranhar, excitava curiosidades e receio e 
desafiava interrogações. 
O reitor foi um dos que mais se importou com a preocupação do 
nosso homem. 
Era este reitor um padre velho e dado, que há muito conseguira na 
paróquia transformar em amigos todos os fregueses. Tinha o 
Evangelho no coração - o que vale muito mais ainda do que tê-lo na 
cabeça. 
A qualidade de egresso não tolhia os ser liberal de convicção. Era-o 
como poucos. 
— Ó homem de Deus - disse pois o reitor um dia, resolvido deveras 
a sondar as profundezas daquele mistério - que tens tu há tempos a 
esta parte? Que empresa é essa em que me andas a cismar há tantos 
dias? 
— Que quer, Sr. Padre Antônio? um homem de família tem sempre 
em que cuidar; tem a sua vida e tem a dos filhos. 
Foi a resposta que obteve. 
— Ora essa! - insistiu o padre - Bem alegre te via eu, em tempos 
mais azados para tristezas, e bem alegres vejo muitos com bem 
outras razões para o contrário. Mas tu!"
BLOCO V;Júlio Dinis;"Que mais queres? Tens bons 
haveres para deixares a teus filhos.; mas, quando não os tivesses, 
sempre eram dois rapazes; e deixa lá, José; um homem é outra coisa 
que não é uma mulher; onde quer se arranja; toda a terra é sua; em 
toda a parte encontra o que fazer, e qualquer trabalho lhe está bem. 
Agora os pobres que vejo por ai com um rancho de raparigas, 
coitadinhas, que ficam mesmo ao desamparo de todo, se a sorte lhes 
roubar o pai... esses, sim, é que não sei como podem ter um 
momento de alegria; e contudo encontrá-los nas festas, que é um 
louvar a Deus. 
— É assim, Sr. Reitor, eu sei que os há por aí mais infelizes do que 
eu, mas... 
— Mas então, quem tem saúde e a quem Deus não falta com o pão 
nosso cotidiano, só deve erguer as mãos ao céu para lhe tecer 
louvores. Mareia a tua vida, que teus filhos não são nenhuns 
aleijados para precisarem pedir esmolas. 
— Graças a Deus que não são, Sr. Reitor. O Pedro, sobretudo, não 
me dá cuidados. O Senhor fê-lo robusto e fero; é um homem para o 
trabalho; e quem pode trabalhar não precisa de outra herança. Pelo 
trabalho, e com a ajuda de Deus, fiz eu esta minha casa, que não é 
das piores, vamos; ele, com menos custo, a pode agora aumentar, se 
quiser."
BLOCO VI;Júlio Dinis;"Mas o Daniel já não é assim. Aquilo é outra mãe - o Senhor a 
chame lá. Um dia de ceifa é bastante para mo matar. É a sorte dele 
que me dá cuidado. - Então é só isso? Ora valha-te Deus! É verdade. 
O pequeno é fraquito e decerto não pode com o trabalho do campo, 
mas... para que queres tu o dinheiro, José? Acaso não terás alguns 
centos de mil-réis ao canto da caixa para pôr o rapaz nos estudos? 
Não podes fazer dele um lavrador? Fá-lo padre, letrado ou médico, 
que não ficarás pobre com a despesa. 
José das Dornas ao ouvir assim formulado o conselho do reitor 
sorriu com a visível satisfação que sempre experimentamos, vendo 
que um dos nossos pensamentos favoritos merece a aprovação de 
alguém, antes de lho revelarmos. 
— Nisso mesmo penava eu. Já me lembrou mandá-lo estudar, mas 
tinha cá certos escrúpulos. 
— Escrúpulos! Valha-te não sei que diga! Pois ainda és desses 
tempos? Que escrúpulos podes ter em mandar ensinar teus filhos? 
Fazes-me lembrar um tio meu que nunca permitiu que as filhas 
aprendessem a ler; como se pela leitura se perdesse mais gente do 
que pela ignorância. 
— Não é isso, Sr. Padre Antônio, não é isso o que eu quero dizer; 
mas custa-me dar a meus filhos uma educação desigual. V"
BLOCO VII;Júlio Dinis;"ê Vossa 
Senhoria. São irmãos e , mais tarde, o que tomar melhor carreira e se 
elevar pelo estudo, há de desprezar o que seguir a vida do pai, a 
ponto de que os filhos dum e doutro quase não se conhecerão: é o 
que mais vezes se vê. Não é uma injustiça que faço a Pedro a 
educação que der a Daniel? 
— Homem de Deus, não há desigualdade verdadeira, senão a que 
separa o homem honrado do criminosos e mau. Essa sim, que é 
estabelecida por Deus, que, na hora solene, extremará os eleitos dos 
réprobos. Educa bem os teus filhos em qualquer carreira em que os 
encaminhes; educa-os segundo os princípios da virtude e da honra, e 
não os distanciará, acredita; porque, cumprindo cada um com o seu 
dever, serão ambos dignos um do outro e prontos apertarão as mãos 
onde quer que se encontrem. E no sentido mundano, julgas tu que 
fazes mais feliz Daniel, por o elevares a uma classe social acima da 
tua! Aí, homem, como viver enganado! o quinhão de dores e 
provações foi indistintamente repartido por todas as classes, sem 
privilégio de nenhuma. Há infortúnio e misérias que causam o 
tormento dos grandes e poderosos, e que os pobres e humildes nem 
experimentam, nem imaginam sequer. Grande nau grande tormenta: 
hás de ter ouvido dizer. Sabes que mais José? - concl"
BLOCO VIII;Júlio Dinis;"uiu o reitor - 
manda-me o rapaz lá por casa, que eu lhe irei ensinado o pouco que 
sei do latim, e deixa-te de malucar! 
Com estas e idênticas razões foi o bom do padre convencendo José 
das Dornas, que nada mais veementemente desejava do que ser 
convencido - e, decorridos oito dias, via-se já Daniel passar, com os 
livros debaixo do braço, a caminho da casa do reitor.  
Capítulo II 
— Ó ti'Tomásia - dizia, ao vê-lo passar, uma velha que, sentada ao 
soalheiro, fiava, rezava padre-nossos e cabeceava com sono - o 
pequeno do José das Dornas anda agora nos estudos? 
— Pois não sabe que o pai o quer pôr a padre? - respondeu a vizinha 
da porta de cima, ao passo que desenredava uma meada e fazia 
soltar à dobadoura os mais inarmônicos gemidos. 
— Toma que te dou eu! A coisa vai ser grande então! 
— Bem se diz: mais anda quem tem o bom vento, do quem muito 
rema. Verá você, ti'Custódia, que o Pedro, que se mata com trabalho, 
há de ter sempre vida de galés, sem nunca levantar cabeça; e o 
pelém do irmão é que há de pimpar de senhor e dar leis em casa. 
— Uma coisa assim! Já agora havia mister de um senhor abade ou 
cônego na família! Ora este mundo sempre está!. 
— E então veja que padre aquele"
BLOCO IX;Júlio Dinis;"! A mim não me engana a pinta. É 
de boa raça. Não tem dúvida nenhuma. 
— Sai ao lado da mãe, vizinha. Lembra-se do tio dele - o Joaquim 
do Morgado? - Que menino!. 
A inflexão com que este - que menino! - foi pronunciado era 
altamente significativa. É de crer que o referido Joaquim do 
Morgado, cunhado de José das Dornas, deixasse indeléveis 
recordações entre as mulheres de sua época. 
— Se me lembra! Aquilo era uma coisa por maior. Bastava dar-lhe 
um pouco de trela, que ele aí estava! Nanja eu, comigo nunca ele fez 
farinha. 
E dizendo isto, desviava a cara a abaixava-se para apanhar o novelo 
que deixara cair, enquanto a vizinha fazia um gesto e resmoneava 
um aparte ininteligível, que ambos pareciam contrariar a última 
asserção da velha e pôr em dúvida a sua apregoada isenção de outros 
tempos. 
— Nem comigo, ti'Tomásia - disse, em tom já elevado, esta do 
aparte - nem comigo, que ele bem sabia com quem se metia. 
Desta vez, gesto e aparte pertenceram à outra interlocutora, e tinham 
a mesma significação. 
É certo, porém, que Daniel ia andando com seu latim e, dentro em 
pouco tempo, já papagueava os substantivos e os adjetivos com 
incrível e surpreendente velocidade. 
José das Dornas divertia"
BLOCO X;Júlio Dinis;"-se excessivamente a ouvi-lo. As 
declinações ditas pelo filho em voz alta ""lá lhe caiam no goto"" como 
ele dizia; e já procuravam imitá-lo nas suas horas de bom humor, 
que, segundo já afirmamos, eram numerosas. 
— Dize lá, rapaz, dize lá. Então como é? Como é? Altrotoro, 
altrotoro, altrotoro. Ó tranca, ó trinque, ai, diabos, diabos, diabos. 
Ah! Ah! Ah! Ora dize lá, rapaz, dize lá. 
E Daniel principiava a repetir as lições acompanhado das 
gargalhadas de José das Dornas que, sem o saber, ia demonstrando 
com o exemplo um grande preceito de instrução, tantas vezes 
recomendado: - o de vencer, pelo estímulo do agradável, o fastio que 
acompanha o estudo. De fato, a facilidade com que Daniel retinha já 
as enfadonhas lições da arte do Padre Pereira era em parte devida à 
maneira por que lhas amenizavam estes gracejos do pai; quanto mais 
arrevesados eram os nomes, com mais vontade os decorava Daniel, 
para despertar com eles a estranheza e hilaridade paternas. 
Que estrondosas gargalhadas se não deram na noite em que repetia 
em voz alta a declinação do relativo Qui e seus compostos! 
— Ora essa! - dizia José das Dornas - que vem cá a ser isso? Qui, 
qui, qui, qui... Ai que o Sr. Reitor quer ens"
