titulo;autor;texto
APARIÇÃO NAS ÁGUAS - I;Alberto de Oliveira;"Vênus, a ideal pagã, que a velha Grécia um dia 
Viu esplêndida erguer-se à branca flor da espuma, 
Cisne do mar Jônio 
Mais alvo do que a bruma!
Visão, filha, talvez, da ardente fantasia 
De um cérebro de deus;
Vênus, astro — no mar e lágrima — nos céus;
Vênus, quando eu te vejo a resvalar tão pura 
Do oceano à, flor,
Das águas verde-azuis na úmida frescura:
Vem da Grécia que é morta,
Abre do céu a misteriosa porta 
E em ti revive, ó pérola do amor!"
APARIÇÃO NAS ÁGUAS - II;Alberto de Oliveira;"É como um sonho imenso de gigantes, 
Cortado de relâmpagos de assombros,
Esse espasmo em que fico, quando vejo 
Desatar-se no olímpico de um beijo 
Os teus longos cabelos ondeantes 
Sobre o mármore santo de teus ombros! 
Há como o abrir de ilíadas augustas 
No sidéreo espaço que dominas;
Um como céu de deuses que se rasga 
E um levantar de místicas cortinas! 
Depois, no fundo azul de um quadro imenso, 
A visão nua, as carnes florescentes...
Sonhos... palpitações... deslumbramentos… 
A voz apocalíptica dos ventos,
E um mistério infinito 
A dilatar as pálpebras dormentes!"
APARIÇÃO NAS ÁGUAS - III;Alberto de Oliveira;"Que aparição de luz! Em breve, em breve 
Vais n’água flutuar! 
Ah! que as ondas, cruel! não sejam lábios,
E eu não seja o mar! 
Hora esplêndida e grande! No arvoredo 
Que te sombreia há um cântico piedoso: 
Tudo recorda o Éden! Doce e a medo 
Uma suave viração farfalha,
E há uma bênção que lúcida se espalha
No azul religioso.
Parece que uma eólica alegria 
Faz-se ouvir nas marítimas bafagens.
Por sobre as amplas superfícies cérulas;
E que em vez dos orvalhos se desfia 
Um rosário de pérolas 
Das encurvadas múrmuras ramagens!"
APARIÇÃO NAS ÁGUAS - IV;Alberto de Oliveira;"Clítia, a filha de Hélade divina,
Jamais foi vista assim do doudo amante 
No lácteo banho! Como a grega Ondina, 
Maior delírio e mais amor inspira 
Teu corpo flutuante 
Sobre as águas do mar mansas e mansas! 
Ficam-te a flux as perfumadas tranças, 
Tal no banho aromático a Hetaíra!"
APARIÇÃO NAS ÁGUAS - V;Alberto de Oliveira;"Do meu amor os ímpetos não domas! 
E, ah! quem, como eu, não te adorara, 
Se visse n’onda clara,
Como a suster-te, as tuas alvas pomas! 
Quem não sentira n'alma esses arrancos, 
Todo o ferver do interno cataclismo,
Ao ver-te nua, ao ver-te os seios brancos, 
As formas de Diana, 
Banhadas de uma luz prometeana,
Ó sideral aparição do abismo!"
APARIÇÃO NAS ÁGUAS - VI;Alberto de Oliveira;"Num relâmpago foges! A alva errante 
Também sumiu-se na irial torrente! 
Fechou-se a grande página brilhante 
Da Ilíada dos deuses!
O sol ascende vagarosamente."
VAPOROSA - I;Alberto de Oliveira;"Passas na terra, sombra misteriosa,
Sob lúcidas formas deslumbrantes.
E perdes-te depois nuns céus distantes 
Entre os véus de uma estrela radiosa.
E a alva, que se ergueu miraculosa, 
Pergunta aos gênios, às visões errantes. 
Se não viram-te as asas alvejantes 
Do azul roçando a face luminosa.
Através do infinito resplendente 
Acompanho-te, ó luz! sigo-te, estrela! 
E ao abrir das rosas do oriente,
Quando Vênus do mar se ergue mais bela, 
Do antro azul sobre a irial torrente 
Vejo-te erguida ‘inda maior que ela!"
III - O ÍDOLO - A MANHÃES DE CAMPOS;Alberto de Oliveira;"Sobre um trono de mármore sombrio, 
Num templo escuro e ermo e abandonado, 
Triste como o silêncio e ‘inda mais frio,
Um ídolo de gesso está sentado.
E, como a estranha mão, quebrando a medo 
A paz que envolve as funerárias urnas, 
Um órgão canta os salmos de um segredo 
Pelas amplas abóbadas soturnas.
Cai fora a noite — um mar que se retrata 
Sobre outro mar — dois pélagos azuis! 
Num — as ondas, alcíones de prata, 
N’outro — os astros, alcíones de luz!
E de seu negro mármore no trono 
O ídolo de gesso está sentado...
— Assim um coração repousa em sono.... 
Assim meu coração vive fechado."
IV - TRINDADES - AO DR FERREIRA DE ARAÚJO;Alberto de Oliveira;"Sabes para onde vão meus pensamentos, 
Lá quando o sol nos cerros se reclina,
E o coqueiral erguido na colina 
Abre o espato dos ventos ao rumor?
Sabes para onde vão meus pensamentos, 
Nas horas em que a luz, que se desmaia, 
Chora no mar que geme sobre a praia 
A partida do sol que é seu amor?
Sabes para onde vão meus pensamentos?
— Ah! vão todos perdidos, vão a toa 
Buscar a sombra de tua casa branca, 
Alevantada à beira da lagoa!"
V - CALMA NO MAR - IMITAÇÃO DE MIÇKIEWICZ;Alberto de Oliveira;"Passa o vento de leve o pavilhão abrindo.
Incha a vaga, marulha e após queda se estende: 
Assim virgem feliz por um sonhar infindo 
À ilusão do amor, que adormentou-a e prende, 
Acorda num suspiro e readormece rindo.
Sobre as vergas em paz, ao bonançoso ar, 
Fecham-se as velas, como ao fim de luta horrível 
Se dobram os pendões; na marcha regular 
O navio se embala quase que insensível,
Qual preso por cadeia ao fundo azul do mar.
Respira o marinheiro, e a multidão errante 
Canta rindo e fitando o páramo arquejante.
Ó oceano! ó mar! entre os teus ledos filhos 
Há um pólipo que, estranho aos bonançosos brilhos, 
À calma, ao céu, à luz, do fundo do teu berço 
Seus mil braços estende em um torpor imerso.
Ó pensamento humano! em tuas profundezas 
Há uma hidra feroz de ensanguentadas presas,
Que dorme ao batalhar dos Sonhos com a Paixão,
E que, quando na paz se envolve o coração,
Aí vai mergulhar, matando os sentimentos,
Suas garras cruéis, como punhais sangrentos!"
