titulo;autor;texto
BEATRICE;Antero de Quental;"Nem visão, nem real: amor! amor somente!...
Pois quem sabe o que diz esta palavra — amor — ?
Quando deixa cair no peito esta semente,
Diz o que há-de brotar, acaso, o Deus-Senhor?
Somente amor... Somente?! é pouco esta palavra?
Duas sílabas só — em pouco um mundo está —
Loucos! mas, quando o amor se expande, e cresce, e lavra,
Bem como incêndio, a arder, tão pouco inda será?
Gota, que alaga o mundo! átomo, e após, colosso!
Mas este nada ou mundo, a mim, quem mo aqui pôs?
Foi Deus! de Deus me vem... e a Deus medir não posso:
É imenso o que vem dele... os nadas somos nós.
E o nada, que me abriu no peito e, feito imenso,
O encheu, bem como um vaso, abrindo, encheu a flor,
Há-de alagar teu peito e ser do templo incenso...
Mulher! hás-de escutar, que eu vou falar d'amor!

Falar d'amor?!... se ele é como uma essência,
Que nos perfuma, sem se ver de donde...
Se ele é como o sorriso da inocência,
Que inda se ignora e, p'ra sorrir, se esconde...
Se é o sonho das noites vaporoso,
Que anda no ar, sem que possamos vê-lo...
Se é a concha no oceano caprichoso,
Se é das ondas do mar ligeiro vê-lo...
Se é suspiro, que oculto se descerra,
Se escuta, mas se ignora de que banda...
Se é estrela, que manda a luz à terra,
Sem se ver de que páramos a manda...

  Se é sonho, que sonhamos acordado...
Suspiro, que soltamos sem senti-lo...
Sopro que vai dum lado a outro lado...
Sopro ou sonho, quem pode repeti-lo?
Falar do amor... do amor! o sempre-mudo!
Se é segredo entre dois, como dizê-lo,
Sem divulgá-lo, sem que o ouça tudo!
Se é mistério encoberto, como vê-lo?...
  

E, entanto, eu bem o sinto,
Eu bem o sinto aqui.
Não sei de donde venha...
Só sei que aspira a ti!
A ti! íman oculto,
Para onde esta alma vai:
A ti! urna, onde encerro
Cada suspiro e ai!
A ti! luz dos meus olhos,
Que eu noutros não sei ver:
A ti! meu livro santo,
Aonde aprendo a ler!
Sim! só a ti, auréola,
Que me enches d'esplendor!
E bíblia, onde curvado,
Soletro a lei do amor!
Que importa que o não digas,
Se ficas a cismar?
Que importa que emudeças,
Se podes suspirar?

  
  Que importa o nome, a fala,
Que importa um eco ou voz,
Se quem dá nome ao nome
— O amor — temo-lo nós?
Que importa a quem suspira
O som que tem seus ais?
Também nós suspiramos...
O mais... que importa o mais?


Bem como a gota d'água o pobre insecto inunda,
Inundem-me d'amor teus olhos — céu e luz —
A quem pedimos nós que amor ao peito infunda?
Ao seu símbolo — à cruz —!
Abre-te, asilo santo, único, eterno abrigo,
Ó seio virginal! ó seio de mulher!
É mãe, e irmã, e amante! é este o seio amigo!
Eu quero inda viver!
O infinito! Ideal! Visão, que mal pressinto!
Transfigura-te aqui! deixa cair teu véu!
Quero palpar e ver a Deus, nisto que sinto!
Quero antever o céu!
Venham-me esta alma ungir palavras do teu lábio.
Que mestre há aí que valha um lábio de mulher?
Que livro folheou o Cristo, o maior sábio?
Quero a vida aprender!
Coração! coração! eia! ressurge! vive!
Já pôde à voz do amor um morto ressurgir...
E tu não te hás-de erguer, ó coração que tive?
Quero ainda sentir!

  Afunde-me no mar da vida pelo afecto;
Quero sentir-lhe a vaga em mim tumultuar:
— De vida o oceano é pai, de vida anda repleto —
O amor! que imenso mar!
Irmã! dá-me do manto alvíssimo uma ponta,
Onde me envolva todo um raio dessa luz...
Não é a cruz quem vê o dia mal desponta?
Tu és a minha cruz.

Cruz tão doce de levar...
Cruz que não tem seu calvário,
Nem espinhos, nem sudário...
Cruz do altar!
Cruz, como em noite sem véu
A diviso em cada estrela,
Que enleva as almas ao vê-la...
Cruz do céu!
Cruz, como a vejo formar
Nas ondas, em fins do dia,
Toda luz, toda harmonia...
Cruz do mar!
Cruz, como o mártir, em pé,
Antes de cair por terra,
A faz, se os braços descerra...
Cruz da fé!
Cruz, que não pesa uma dor,
Não quer nem pode afligir-nos,
Mas que vem também remir-nos...
Cruz d'amor!
  


  
  
  

Ó cruz d'amor santíssima!
Tomemo-la, mulher!
Unidos, exaltando-nos!
Unidos no sofrer!
Eu vejo os astros pálidos
E o mundo já sem luz —
Braços, onde acolhermo-nos,
Só vejo os dessa cruz!
Amemos, pois, amemo-nos!
O mundo é ermo e vão;
Nem há já outro alívio,
Nem outra salvação,
Nem outra escada esplêndida,
Por onde ao céu subir,
Mais que essa ponte mística
Do amor e do sentir.
Deserto e noite envolvem-nos.
O que nos resta a nós?
Amigo, é Ele o único —
Sem Ele, órfãos e sós.
Salvemo-nos! Salvemo-nos!
O amor só vence o mal —
Oh! juntos elevemo-nos
Nas asas do ideal!
Sim! dá-me as asas cândidas,
Com que se sobe além...
Oh! sê, sê pois a flâmula
Que me conduza ao bem!
  


  
  
  

Depois que, dia a dia, aos poucos desmaiando,
Se foi a nuvem d'ouro ideal que eu vira erguida:
Depois que vi descer, baixar no céu da vida
Cada estrela e fiquei nas trevas laborando:
Depois que sobre o peito os braços apertando
Achei o vácuo só, e tive a luz sumida
Sem ver já onde olhar, e em todo vi perdida
A flor do meu jardim, que eu mais andei regando:
Retirei os meus pés da senda dos abrolhos:
Virei-me a outro céu, nem ergo já meus olhos
Senão à estrela ideal, que a luz d'amor contém.
Não temas pois — Oh vem! o céu é puro; e calma
E silenciosa a terra; e doce o mar; e a alma...
A alma! não a vês tu? Mulher, mulher! oh vem!

  

Oh! vem! se às mágoas ando há muito afeito,
Juntos podemos contra a dor lutar:
Não podem mágoas contra um peito amigo...
Oh! vem, que eu sofro! vem sofrer comigo...
E então meu peito,
Há-de acalmar!
Se sofres, sofro: quem não pisa abrolhos?
Quem rosas colhe sem lhe a mão sangrar?
Mas, quando a angústia me negar conforto
Dum pranto, ao menos, a meu peito absorto
Volve teus olhos...
Hei-de chorar!...
  



  
  Oh! vem! que eu sofro! vem trazer-me a calma,
Que anelo e busco no teu puro olhar!
Se a minha estrela se apagar sumida,
Oh, surge, surge, no meu céu da vida...
E então minha alma...
Há-de exultar!

  

Quando a vida sentir já sem abrigo,
Já quase a sossobrar na dor envolta
— Vela, que se desfaz, no mar revolta —
Irmã! por me salvar, serei contigo!
Quando a dor me levar a cor da vida,
Como à nuvem seu brilho o vento leva,
Buscando quem me afaste a morte seva,
Irei, irei então buscar-te, querida!
Quando o pouco calor, que inda comporta,
Que inda conserva esta alma, vir extinto,
E a luz, a luz do espírito, que sinto
Ir-se apagando, em todo vir já morta;
Buscarei no teu seio aquela fonte
Constante e pura do mais puro afecto;
E ele — o vaso d'aroma e amor repleto —
Há-de de amor e aroma ungir-me a fronte.
Como seio de mãe seu filho acolhe,
Teu seio, de piedade nunca avaro
Por me livrar de morte e desamparo
Há-de abrir-se à desdita que me colhe.
E, olhando-me, hão-de os olhos teus formosos
Humedecidos ver-se pelo pranto,
Que n'alma me há-de ser bálsamo santo,
E promessa de dias mais ditosos.
  

  
  E teu lábio, que a prece perfumara,
Pousando-me na face angustiada,
Na linguagem d'amor, no céu fadada,
Dirá que em vão meus sonhos não sonhara.

  

Pôs-te Deus sobre a fronte a mão poderosa:
O que fada o poeta e o soldado
Volveu a ti o olhar d'amor velado,
E disse-te:   mulher, vai! sê formosa!  
E tu, descendo na onda harmoniosa,
Pousaste neste solo angustiado:
— Estrela envolta num clarão sagrado,
Do teu límpido olhar na luz radiosa —
Mas eu... posso eu acaso merecer-te?
Deu-te o Senhor, mulher! o que é vedado,
Anjo! Deu-te o Senhor um mundo à parte.
E a mim, a quem deu olhos para ver-te,
Sem poder mais... a mim o que me há dado,
Voz que te cante... e uma alma para amar-te!

  

É pouco, é muito!... É tudo quanto pode
Dar-se... porque é o amor!
Ao olhar, que assim busca, o que se esconde,
— Vê o sorriso e a dor —
Vê-o?... Reflecte-o em si, e em si o sente,
Como o ar sente o som:
E, como o ar vai cambiando o som tremente,
Repete cada tom.
  


  
  Funde-se um ser no outro e une-os um laço,
Como o azul se une aos céus.
E os olhos?... quem distingue, nesse abraço,
Os meus... e os que são teus?
— Transforma-se o amador na cousa amada —
Dois são... e um só, também...
Anda uma alma com outra tão liada!...
São como filho e mãe.
Como a hera, que aos álamos se enleia,
Quando o tronco cresceu,
Com ele vai, com ele lida, anseia...
Com ele se ergue ao céu!
Vão-se estreitando... vão: e mal se sabe
Se é um ou se são dois...
Pois se é assim... se há um ser, que em si não cabe...
Sou teu... és minha, pois!

  

Sim! és minha! minha! minha!
Como é dos olhos a luz,
E é o ninho da avezinha,
E dos crentes é a cruz:
Como a Bíblia é dos que lêem,
À luz dum raio de fé;
Como a fé é dos que a vêem,
Ao pé de si, sempre em pé:
Como o céu é do que o fita,
E se embala no esplendor;
Como o sol, do que dormita
Aquecido ao seu calor:
  


  
  Como tudo belo e santo
É de quem o sente e vê;
Como os olhos de uma amante
São de quem só neles crê.
Sim, minha!... Pois tem alívio
Cada pranto e cada dor;
Pois, neste caminho ínvio,
Tem cada urze uma flor:
E cada céu tormentoso
Tem sua réstia de sol,
E tem o chorar seu gozo,
E a noite, o seu rouxinol:
Se ninguém embalde estende,
Sem achar consolo, as mãos;
Se uma lágrima nos pende
Sobre o seio dos irmãos:
Não há-de ter gota d'água
A sede como a sofri...
Ter alívio cada mágoa...
E eu... ter-te na vida, a ti?!..

  

Se te posso esquecer?! Pergunta à ave
Se esquece o ninho, que lhe deu calor!
Pergunta ao triste se esqueceu o peito
Que a lágrima acolheu da sua dor!
Pergunta à flor do ermo se não abre
Constante o cálix ao rociar do céu!
Pergunta ao cego, que caminha em trevas,
Se a mão que o conduziu, já lhe esqueceu!
  



  
  Pergunta ao miserável, que te estende,
Pedindo um óbulo, a mirrada mão,
Se a lágrima olvidou que te há sobre ela
Caído, como bálsamo à aflição!
Pergunta, a quem exulta ou a quem chora,
Pelo amor por que exulta ou dor que tem!
Pergunta à mãe se esquece o filho amado!
Ao filho, se lhe esquece sua mãe!
Pergunta a quem te viu se esquecer pôde,
Um só momento, a luz dos olhos teus!
Ao mártir, se lhe lembra a sua crença!
Ao crente, se lhe lembra ainda o seu Deus!
Pergunta ao astro se deixou, um dia,
De, em torno ao sol, constante gravitar!
Pergunta a cada ser se esquece a vida!
Pergunta ao amante se lhe esquece amar!
Se te posso esquecer?!... Digam-to as horas,
Que, sem te ver, me esquecem dos meus dias:
E o silêncio das noites, quando escuto,
Dentro em mim, deste amor as harmonias!
Digam-to as ambições que já meu peito
Agitaram, como ondas no alto mar...
Sonhadas ambições e glórias, que hoje
No teu amor, somente, vou cifrar!
Digam-to as dores, as descrenças fundas
— Tropel, que já minha alma devastou —
Diga-to esta alma, que turbaram males,
E a um só aceno teu me serenou!
Se te posso esquecer?!... Quando o teu filho
A teus olhos de mãe o olhar volver,
Pergunta a esse olhar se o amor se esquece,
Se quem te um dia amou pode esquecer!..."
PEPA - I;Antero de Quental;"Eu bem sei que te chamam pequenina,
E ténue, como o véu solto na dança,
Que és, no juízo, apenas a criança,
Pouco mais, nos vestidos, que a menina:
Que és o regato d'água mansa e fina;
A folhinha do til que se balança:
O peito que, em correndo, logo cansa;
E a fronte que ao sofrer logo se inclina...
Mas, filha, lá nos montes onde andei,
Tanto me enchi de angústia e de receio
Ouvindo da grandeza os longos ecos,
Que não quero imperar nem já ser rei,
Senão tendo meus reinos em teu seio
E súbditos, criança, em teus bonecos!"
PEPA - II;Antero de Quental;"Tenho dormido no monte,
Alta noite, à chuva e ao frio,
À luz rápida do raio,
Sob um céu duro e sombrio.
  
  E outras vezes — mas sonhando —
Anjos do céu me hão levado
Nos braços, adormecido,
E entre nuvens embalado.
Eu passo vida sonhando
Sonhos de luz e de treva —
Já entre os astros brilhantes,
Já no monte, enquanto neva;
Mas nunca a sombra da terra,
Mas nunca dos céus a aurora,
Me deu sono tão estranho,
Um sonhar como este agora!
Que tenha tanta tristeza,
E uma tamanha ventura,
Tantas visões refulgentes
E tanta nuvem escura!
Entre as urzes da charneca,
Ou em seios de serafim,
Nunca me assim hei dormido,
Nunca tive um leito assim,
Como quando, entre o arvoredo,
A noite, à luz do luar,
Dorme minha alma e se embala
Num raio de teu olhar!"
PEPA - III;Antero de Quental;"Se eu fora a terra, que tu vais pisando
— De olhar no céu — a terra que nem vês...
Quando por sobre mim fosses andando...
Floria-te esses pés!

  
  Fora eu o mar, aonde mãos e braços
E o corpo, nu, mergulhas vergonhosa...
Pudera eu ser então a onda amorosa...
Vestia-te d'abraços!
Se eu fora o céu, que à noite, se meditas,
Te vai mostrando as fúlgidas areias,
Lançara-te, se eu fora o céu que fitas,
Os astros, às mãos cheias!"
PEPA - IV;Antero de Quental;"Eu sou a concha das praias
Que anda batida da onda
E, de vaga em outra vaga,
Não tem aonde se esconda.
Mas se um menino, da areia
A colher e a for guardar
No seio... ali adormece
E é ali seu descansar.
Pois sou a concha da praia
Que anda batida da onda...
Sê tu esse seio infante,
Aonde a triste se esconda!
Eu sou quem vaga perdido,
Sob o sol, com passo incerto,
Contando por suas dores
As areias do deserto.
Mas se um palmar, no horizonte,
Se vê, súbito surgir,
Tem ali a tenda e a fonte
E é ali o seu dormir.
Pois sou quem vaga perdido,
Sob o sol, com passo incerto...
Sê tu sombra de palmeira,
Sê-me tenda no deserto!

  
  Eu sou o peito sequioso
E o viúvo coração,
Que em vão chama, em vão procura
Outro peito, seu irmão.
Mas se avista, um dia, a alma
Por quem andou a chamar,
Tem ali ninho e ventura
E é ali o seu amar.
Pois sou quem anda chorando
À procura dum irmão...
Sê tu a alma que me fale,
Inda uma hora ao coração!"
PEPA - V;Antero de Quental;"O teu pé, subtil e breve,
É como a visão doirada
Que em sonhos roça, fugindo,
A nossa fronte pesada:
Todo o escuro se ilumina,
Duma luz coada e branda,
E voam as fantasias,
Como aves, de cada banda:
Assim, quando teus pés roçam
A terra dura e sem cores,
Sob a pisada, que a afaga,
Às mil vêm brotando as flores!"
PEPA - VI;Antero de Quental;"Há na tua varanda uma roseira
Virada ao sol e ao mar,
Que o vento dos jardins d'Andaluzia
Anda sempre a embalar.

  
  Banha-a a luz, dá-lhe concerto a onda;
Nem — da violeta ao lis —
Não vi jamais, neste jardim de Espanha,
Quem fosse mais feliz!
Mas deixa um meu suspiro bafejar-te
Com o sopro do amor...
Verás então que rosa desabrocha
Dentro em tua alma, flor!
Ah! deixa, deixa-a abrir-se nos teus olhos,
Como a flor no balcão...
Por sol, o astro radiante da ventura
E mar, o coração!"
PEPA - VII;Antero de Quental;"Tivesse eu a estrela d'alva,
Que de manhã treme e desce!
Tivesse a estrela da tarde,
A que à noitinha aparece!
Roubava ao céu as estrelas,
Descravava-as desse espaço,
E, unindo-as ambas com um laço
D'aveludada fitinha,
Ia dar-tas por fivelas
Da tua negra botinha!
Pudesse eu tirar do peito
A fibra mais melindrosa
Que me envolve o coração!
Havia dar-te, formosa,
Essa corda dolorosa
Da minha harpa de Sião...
Dar-te a fibra de meu peito,
Que fosse (e, só com dizê-lo,
Coração, já te desatas...)
A fita com que tu atas
A trança do teu cabelo!

  
  Pudesse eu ter a cambraia
Da fímbria dos sonhos meus!
Toda feita d'esperanças,
E da luz de novos céus,
E do ar dum novo espaço!
Talhava-te nela o véu
Que te cobre, num abraço,
O pescoço mais de meio...
Que, enquanto dormes e sonhas,
Sonha e dorme no teu seio!
Guardasse eu inda o cristal
Das minas da minha infância,
O meu infantil ideal,
A flor, o azul, a fragrância!
Os meus cristais de Poeta,
— A fé, a crença, a confiança! —
Fazia deles um prisma
Com que visses, neste escuro,
Cor do céu e d'esperança,
O mundo, a vida, o futuro!"
PEPA - VIII;Antero de Quental;"Adornou o meu quarto a flor do cardo;
Perfumei-o d'almiscar olorente;
Vesti-me com a púrpura fulgente,
Ensaiando meus cantos, como um bardo:
Ungi-me, face e corpo, com o nardo
Crescido nos jardins do Oriente,
A receber com pompa, dignamente,
Misteriosa visita a quem aguardo.
Mas que filha de reis, que anjo ou que fada
Era essa que assim a mim descia,
Do meu casebre à húmida pousada?...

  
  Nem princesas, nem fadas. — Era, flor,
Era a tua lembrança que batia
Às portas, todas luz, do meu amor!"
PEPA - IX;Antero de Quental;"Andava eu buscando o dia,
Mas não sei quem é que vinha
Tirar-mo, mal ia a tê-lo...
E, vês tu, não sei que tinha,
Não atinava com vê-lo
Neste céu d'Andaluzia!
Quando tu, passando ao lado
Deste cego, e erguendo a ponta
Da tua escura mantilha,
Me disseste —   olha se brilha
Aqui dentro... se desponta
Talvez aqui deste lado...  
Olhei... pois se era teu rosto!
Vi... pois se era teu olhar!
Ó pura lua d'Agosto
Sobre as águas do meu Tejo!
Perdi-me nesse luar...
Agora é que eu já não vejo,
Sob o céu d'Andaluzia,
Nem luz nem sol quando é dia!"
