titulo;autor;texto
POEMA - PREFÁCIO - PARTE II;Augusto de Lima;"amoldar-se, há uma única que lhe dá, na existência exterior, a vida
intensa e completa, que a faz palpitar na imaginação criadora.
Para encontrar essa expressão única, insubstituível, escondi
da misteriosamente no vasto abismo das expressões semelhan
tes, é que se requer o dom divino, o prestígio sobrenatural da
inspiração.
Nemsempre seatingeesse ideal, quase inacessível;mas, para
merecer a imortalidade, é imprescindível procurá-lo sempre e tê-lo
atingido algumas vezes, ao menos.
Neste livro, nota-se a preocupação infatigável, o esforço
constante desta tendência, freqüentemente vitoriosa, afirman
do-se em fragmentos de uma perfeição inimitável, em que não
há palavras supérfluas, em que cada vocábulo contém uma in
tenção artística complexa, já pelo valor intrínseco, já pelo valor
do lugar que no verso ocupa: trechos irrepreensíveis, em que
tudo concorre para o efeito estético, que o poeta quer produzir,
e realmente produz.
Não cito. O leitor por si verificará o que digo.
Das censuras que devo fazer a este volume, mencionarei apenas
uma: é um protesto contra o título. Ou melhor: não sou eu quem
protesta, mas as páginas imorredouras que ele refolha entre muitíssi
mas efêmeras.
Contemporâneas, este livro! Augusto de Lima blasfemou.
Se a obra não desmentisse o título, eu não aceitaria a hon"
POEMA - PREFÁCIO - PARTE III;Augusto de Lima;"rosa per
missão, que o autor me deu, de escrever nesta primeira folha o meu
modesto e obscuro nome, repetindo, ao mesmo tempo que o assino, a
célebre quadra de Bocage inspirada pelo pressentimento dos aplausos
da posteridade:
Aquela enchente de glórias
Ou tu voarás comigo,
Ou hei de, enjeitando o prêmio,
Morrer de todo contigo."
POEMA - ILUSÕES QUE EU AMEI...;Augusto de Lima;"Ilusões que eu amei ao despontar da vida,
bonançosa esperança, esmeraldino mar,
em que vogou meu berço à viração querida
de suspiros de amor; ó aves de meu lar,
jardins que alimentou a carícia materna;
flores que desfolhei, cantando e rindo à luz
de aurora fulgurante e que eu julgava eterna!
Um momento deixai vossos nimbos azuis,
onde, há muito, dormis, e vinde, em revoadas,
robustecer-me a crença, encher-me o coração,
deslumbrar-me na luz de vossas alvoradas
e povoar, enfim, a minha solidão.
Multiplique-se em vós minha, alma a cada passo,
como a cor no cristal prismático do espaço,
e aura em vossa memória o intrépido vigor,
para sempre me achar, valente lutador,
da vida social na porfiada liça,
ao lado do dever e ao lado da justiça.
Vós sois o meu passado e sois o meu porvir,
ensinando-me o Bem e dando-me a sentir
a eterna aspiração, que o ontem nunca perde;
porque é a própria Esperança o grande pendão verde,
atrás do qual desfila o exército vital
das almas à conquista augusta do Ideal."
POEMA - ATRAVÉS DOS SÉCULOS;Augusto de Lima;"O globo estava escuro, o firmamento baço.
Arrebatado na asa invisível dos ventos,
eu ouvia gemer no indefinido espaço
as mortas gerações dos séculos poentos.
Filhos de antigos sóis, filhos dos novos dias,
monstros, ídolos, reis, virgens de rostos pulcros,
corpos vazios de alma, almas de amor vazias,
erguiam-se a meus pés do fundo dos sepulcros.
Como ondas que as marés vão arrojando às plagas,
num denso remoinho elétrico de gritos,
eu via o turbilhão dessas humanas vagas
bulhando no cairel dos tempos infinitos.
A guerra fratricida, a tirania, o roubo,
a crápula, o veneno, as tramas hediondas...
Messalina, a cadela, Heliogabalo, o lobo,
cruzavam-se a rolar, arrastados nas ondas.
E o vento cada vez se tornava mais forte,
e o ruído crescia, e a treva era mais densa;
nisto ouvi rebentar dos vagalhões da Morte
um grito, que ecoou pela abóbada imensa.
E súbito acalmou-se a agitação das massas,
e o vento me depôs. Um estelino albor
vinha lavando o céu das fúnebres fumaças:– era a constelação das lágrimas do Amor."
POEMA - ADESCIDA;Augusto de Lima;"Homem, remove este rochedo e a rara
galeria interior contempla e estuda;
desce, e da terra pela ossada muda
leva tua razão de ciência avara.
Na treva expira a luz há pouco clara,
o ar em sulfúreo gás já se transmuda:
coragem! desce, e os séculos saúda,
desce mais, desce mais... agora pára.
Mas não! lá fulge um fogo subterrâneo:– e mergulhas no cérebro do globo,– e lhe penetras de outro lado o crânio.
Desce! não! sobe agora; um brilho intenso
banha-te o corpo, e num heróico arroubo
eis-te boiando no oceano imenso."
POEMA - ENTRE AS ÁRVORES - PARTE I;Augusto de Lima;"A Fontoura Xavier.
Aqui eu sinto a Vida em ímpetos sonoros
devassando-me a luz de seus grandes arcanos
e esta seiva febril me infiltra pelos poros
o sangue matinal de meus primeiros anos.
Fascina-me o verdor primaveril das plantas;
não sei que magnetismo oculto as ervas têm,
que eu julgo, ó Natureza, em tuas pomas santas
beber tragos de luz e néctares do Bem.
Vendo o sangue do sol coado entre as ramagens,
que insólita volúpia incandescente eu sinto!
e como fito atento as ruínas selvagens
de uma pedreira antiga, ou de um vulcão extinto!
Amo entranhar-me a sós nos flácidos maciços
das lianas e ter a alegria pagã
de no meio me achar dos sátiros roliços,
ouvindo tocar flauta o harmonioso Pã.
Num turbilhão sonoro, as aves de mil cores
enchem a imensidão de límpidas risadas,
enquanto Flora anseia em convulsões de flores
na nítida beleza azul das alvoradas.
Como um cactus ao sol, minha alma desabrocha,
e os perfumes do canto entorno, afrouxo, no ar...
Depois, escuto o vento, e fito a árida rocha
e as aves sobre mim que passam a cantar.
O azul do espaço desce em gotas cintilantes
o seio a fecundar das trêmulas boninas,
e, numa inundação de vagas de brilh"
POEMA - ENTRE AS ÁRVORES - PARTE II;Augusto de Lima;"antes,
a luz serena banha as longínquas campinas.
Os rudes Leviatãs dos mares de verdura
curvam potentemente a robusta cerviz.
Range o cedro: – é um hino; e as folhagens n’altura
torvelinham soando em vibrações sutis.
Nos côncavos sem fim das grutas solitárias,
à dúbia refração das úmidas piritis,
corre serenamente, álgida, em fendas várias,
a linfa que nasceu nas velhas estalactites.
A onça gemedora as pálpebras vermelhas
escancara e boceja; espreita... e segue após,
compassada no trilho: uma nuvem de abelhas
acompanha-a, soltando a zumbidora voz.
Contrastando a altivez do carrascal felpudo,
em cachões a cascata espumejante tomba
dos negros alcantis – enquanto sobre tudo
paira a alegria eterna, assim como uma pomba.
Na natureza. a alma harmônica das coisas,
complexa, se derrama em formas multicolores,
ora na robustez das árvores frondosas,
ora na muda voz colorida das flores.
O canto de uma ave exprime o anseio extremo
do coração de um Deus, no espaço a soluçar;
e espelha-se também a luz do amor supremo
no fosfóreo clarão dos olhos do jaguar...
Em teu seio, é Floresta, onde o Belo descansa,
ao rebentar da Vida a torrente sonora,
ouço dentro de mim o canto da Esperança,
como"
POEMA - ENTRE AS ÁRVORES - PARTE III;Augusto de Lima;um clarim vibrante ao despontar da aurora.
POEMA - OCÉTICO;Augusto de Lima;"“Percorro da ciência o labirinto
e em tudo encontro um eco duvidoso:
matéria vã, espírito enganoso,
mentis, tudo é mentira, eu só não minto.
Vejo, é verdade, a vida e a vida sinto,
o calórico, a luz, a dor e o gosto,
a natureza em flor, o sol formoso
e o céu das cores da Aliança tinto.
Mas quem, senão eu mesmo, vê tudo isto?
e quem pode afirmar-me que eu existo,
visões celestes, velhas nebulosas?”
E em seu crânio a razão desponta e morre,
como o santelmo fátuo, que discorre
na solidão das minas tenebrosas."
POEMA - ELEVAÇÃO;Augusto de Lima;"A Américo Lobo.
Outra essência, outra forma, asas tivera
de um albatroz universal, gigante,
e eu tentaria a viagem pela esfera,
embarcação de penas flutuante.
Do globo perlustrar não vistas zonas,
os trópicos de fogo e o pólo frio;
de manhã beber água no Amazonas
e à noite adormecer no sacro rio.
Bem afastado do bulício humano,
sentir, envolto num luar de prata,
o salso cheiro salutar do oceano
e os eflúvios balsâmicos da mata.
E quando já de tédio e de cansaço
gemesse a vida, então, me fosse dado
ir procurar nas amplidões do espaço,
junto do sol, meu túmulo dourado.
E abrindo as asas de fulgentes penas,
num vôo imenso que assombrasse os mares,
desfazer-me na Luz, deixando apenas
palhetas de ouro esparsas pelos ares."
