titulo;autor;texto
ADEUS, GENTIL!;Auta de Souza;"A Olindina Medeiros.

Que manhã feia e escura aquella em que partiste!
Recordas te, Gentil? O Céo estava triste,
Sem um raio de sol, nevoento, sombrio,
Bem como um coração amargurado e frio...

Um sorriso divino inundava-te o rosto
De innocencia e de luz... e eu sentia o Desgosto
Ferir-me o seio, emquanto, a beijar-te, chorando
Meu labio estremecia um adeus murmurando.

Ah! dentro de minh’alma, assim como n′um mar,
O batel da Saudade, a boiar, a boiar,
Parecia attrahir-me á ventura e á Alegria
Para o abysmo cruel onde mora a Agonia.

Pequenino como és, não sabes comprehender
A magua que allucina e que faz padecer
Ao pobre coração pela angustia ferido
Ao ver sumir-se longe um rosto estremecido.


Hostia loura e formosa, ó meu sonho dourado!
Açucena do Céo, archanjo immaculado
Que as azas virginaes desdobras sobre a terra...
Longe de ti eu choro, assim como na serra,
A doce jurity que soluça e padece,
Quando o Sol vai morrendo e quando a Noite desce.

Adeus, meu colibri! adeus, minha saudade!
Creancinha que eu amo, ó flor de castidade!
Mimoso lirio puro, innocente e gracil,
Camelia desbrochada ao sol do mez de Abril!

Adeus! Adeus! Adeus!
 Sacode as azas puras,
O’ lindo sonho branco! e lança ás amarguras
De minha vida triste o pó de oiro sagrado,
Que ellas deixam cahir do sacrario estrellado
Que tens na cabecinha esplendida e divina,
O’ creança formosa, ó alma cristallina!"
ADORAÇÃO DOS REIS MAGOS;Auta de Souza;"Jesus sorri. Que ternura,
Que doce favo de luz
Vejo brilhar na candura
De seus dois olhos azuis!

Chegam os Magos. De joelho,
Cheios de unção e de amor,
Beijam o pesinho vermelho
Do pequenino Senhor.

Trazem-lhe mesmo um tesouro
Lembrando glória e tormento:
Caçoulas de incenso e ouro
É a mirra do sofrimento.

Ó Reis do Grande Oriente,
Por que lembrastes, então,
Á mãe do louro inocente
A dor sem fim da Paixão?


Não vedes que a Virgem chora
Olhando a mirra cruel?
É que ela se lembra agora
Da esponja embebida em fel.

Talvez não vísseis o lindo
Bando gentil de pastores
Que o rodearam sorrindo,
Mas só lhe trouxeram flores!"
AGONIA DO CORAÇAO;Auta de Souza;"Estrellas fulgem da noite em meio
Lembrando cirios loiros a arder...
E eu tenho a treva dentro do seio...
Astros! velai-vos, que eu vou morrer!

Ao longe cantam. São almas puras
Cantando á hora do adormecer...
E o echo triste sobe ás alturas...
Moças! não cantem que eu vou morrer!

As mães embalam o berço amigo
Doce esperança de seu viver...
E eu vou sosinha para o jazigo...
Chorai creanças, que vou morrer!


Passaros tremem no ninho santo
Pedindo a graça do alvorecer...
Emquanto eu parto desfeita em pranto...
Aves! suspirem que eu vou morrer!

De lá do campo cheio de rosas
Vem um perfume de entontecer...
Meu Deus! que maguas tão dolorosas...
Flores! fechai-vos, que eu vou morrer!"
NO ALBUM DE DOLORES;Auta de Souza;"Escuta-me bem, Dolores,
Não queiras meu nome aqui:
Elle não é colibri
Para viver entre flores.

Tu’alma, irmã de Jesus,
Como consente ficar
Sobre a mesa de um altar
Um pobre cirio sem luz?

Meu triste nome choroso
Quer uma outra habitação:
Guarda-o no teu coração,
Lirio celeste e formoso!

Rasga esta folha, Dolores,
Não deixes meu nome alli:
Elle não é colibri
Para viver entre flores."
NO ALBUM DE EUGENIA;Auta de Souza;"Quanta dor a boiar nos olhos das creanças,
Quanta gotta a tremer no calice das flôres...
E aqui neste jardim, plantado de esperanças,
Eu venho inda depor a lagrima das dôres.

A lagrima é o meu nome escripto entre as formosas
Paginas de teu livro, um berço de boninas!
Pois não bastava o orvalho a tremular nas rosas,
Nem o pranto a rolar nas faces pequeninas?"
A’ ALMA DE MINHA MÃE;Auta de Souza;"Partiu-se o fio branco e delicado
Dos sonhos de minh’alma desditosa...
E as contas do rosário assim quebrado
Caíram como folhas de uma rosa.

Debalde eu as procuro lacrimosa,
Estas doces relíquias do Passado,
Para guardá-las na urna perfumosa,
Do meu seio no cofre imaculado.

Aí! se eu ao menos uma só pudesse
D’estas contas achar que me fizesse
Lembrar um mundo de alegrias doidas...

Feliz seria... Mas minh’alma atenta
Em vão procura uma continha benta:
Quando partiste m’as levaste todas!"
ANGELINA;Auta de Souza;"Ter doze annos somente
E nesta edade soffrer!
Sonhar um porvir ridente
E nesta aurora morrer!

Eis o que foi-te a existencia,
O’ desditosa Angelina!
Doce lirio de innocencia,
Pobre flóco de neblina.

Como dois botões pequenos,
Duas flores orvalhadas,
Teus olhos dormem serenos,
Sob as palpebras cerradas.


Voaste, meiga creança,
Tão feiticeira e mimosa,
Como um riso de esperança,
Como uma folha de rosa.

E’ triste morrer no fim
De uma manhã de esplendores...
A fronte occultar, assim,
N’uma grinalda de flores.

E sentir, por entre a dor
Da derradeira agonia,
De mãe um beijo de amor
Roçar a fronte já fria...

Quando n’um suspiro leve,
Est’alma que o corpo encerra,
— Como uma pomba de neve
A desprender-se da terra; —

N’um vôo suave e franco
Fugiu para o Céo de anil...
Vestiram-te então de branco,
Como uma noiva gentil.

No setineo caixãosinho,
Mais puro que as alvoradas,
Depuzeram teu corpinho,
Entre as cambraias nevadas.


Ahi, no funereo leito,
Toda coberta de rosas,
Tendo cruzadas ao peito
Duas mãosinhas formosas;

Pareces um anjo santo,
Envolto em gélido véo,
Transpondo azulado manto,
Como em procura do Céo.

Eu sigo-te o vôo alado,
Pela esphera diamantina,
O’ meu anjo immaculado,
O’ minha santa Angelina!"
ANNO BOM;Auta de Souza;"Hoje começa o ano. Na alegria
De nívea pomba quando nasce a aurora,
Deixa, minh’alma, a tua fantasia
Subir, cantando, pelo espaço a fora...

Deixa-a sumir-se além, rompendo gazas,
Subindo em busca de ideais queridos:
Há de trazer nas pequeninas asas
Todo o perfume dos meus dias idos!

Há de trazer o sonho transparente
Da inocência feliz (quanto eu sonhava!)
E o eco virginal da voz dolente
Que o meu sono de arcanjo acalentava.


E o meu sorriso e as minhas esperanças,
Essas ingênuas ilusões de um dia,
Toda essa luz que as almas das crianças
Num raio de luar acaricia...

Que tudo venha sobre mim cantando
O salmo doce da recordação.
Qual se pousesse um luminoso bando
De passarinhos no meu coração..."
ANTONIETA;Auta de Souza;"Esta creança formosa
Tem um sorriso argentino,
Como o gorgeio divino
Que solta uma ave saudosa.

Muito innocente e mimosa,
Semelha um lirio franzino.
No rostinho pequenino
Guarda uma bocca de rosa.

Se falla, a voz adorada
E’ como uma harpa encantada
Que os hymnos de Alem encerra.

Esta creança, Senhor!
E’ um mimo de teu amor,
Um anjo descido á terra."
O BEIJA-FLOR;Auta de Souza;"Acostumei-me a vel-o todo o dia
De manhãsinha, alegre e prasenteiro,
Beijando as brancas flores de um canteiro
No meu jardim — a patria da ambrosia.

Pequeno e lindo, só me parecia
Que era da noite o sonho derradeiro...
Vinha trazer ás rosas o primeiro
Beijo do Sol, n’essa manhã tão fria!

Um dia foi-se e não voltou... Mas, quando
A suspirar, me ponho contemplando
Sombria e triste, o meu jardim risonho...

Digo, a pensar no tempo já passado:
Talvez, ó coração amargurado,
Aquelle beija-flor fosse o teu sonho!"
