titulo;autor;texto
A CANÇÃO DO EXÍLIO P1;Casimiro de Abreu;"Eu nasci além dos mares:
Os meus lares,
Meus amores ficam lá !
Onde canta nos retiros
Seus suspiros,
Suspiros o sabiá !
Oh ! que céu, que terra aquela,
Rica e bela
Como o céu de claro anil !
Que selva, que luz, que galas,
Não exalas,
Não exalas, meu Brasil !
Oh ! que saudades tamanhas
Das montanhas,
Daqueles campos natais !
Daquele céu de safira
Que se mira,
Que se mira nos cristais !
Não amo a terra do exílio,
Sou bom filho,
Quero a pátria, o meu país,"
A CANÇÃO DO EXÍLIO P2;Casimiro de Abreu;"Quero a terra das mangueiras
E as palmeiras,
E as palmeiras tão gentis !
Como a ave dos palmares
Pelos ares
Fugindo do caçador;
Eu vivo longe do ninho,
Sem carinho,
Sem carinho e sem amor !
Debalde eu olho e procuro...
Tudo escuro
Só vejo em roda de mim !
Falta a luz do lar paterno
Doce e terno,
Doce e terno para mim !
Distante do solo amado  - Desterrado -
A vida não é feliz.
Nessa eterna primavera
Quem me dera,
Quem me dera o meu país !"
MINHA TERRA P1;Casimiro de Abreu;"Todos cantam sua terra,
Também vou cantar a minha,
Nas débeis cordas da lira
Hei de faze-la rainha;  - Hei de dar-lhe a realeza
Nesse trono de beleza
Em que a mão da natureza
Esmerou-se enquanto tinha.
Correi pr’as bandas do sul:
Debaixo de um céu de anil
Encontrareis o gigante
Santa Cruz, hoje Brasil;  - É uma terra de amores
Alcatifada de flores
Onde a brisa fala amores
Nas belas tardes de abril.
Tem tantas belezas, tantas,
A minha terra natal.
Que nem as sonha um poeta
E nem as canta um mortal !  - É uma terra encantada  - Mimoso jardim de fada -
Do mundo todo invejada
Que o mundo não tem igual.
Não, não tem, que Deus fadou-a:
Dentre todas - a primeira:
Deu-lhe esses campos bordados,
Deu-lhe os leques da palmeira.
E a borboleta que adeja
Sobre as flores que ela beija,
Quando o vento rumoreja
Nas folhagens da mangueira.
É um país majestoso
Essa terra de Tupã,
Desde o Amazonas ao Prata,
Do Rio Grande ao Pará !  - Tem serranias gigantes
E tem bosques verdejantes
Que repetem incessantes
Os cantos do sabiá.
Ao lado da cachoeira,
Que se despenha fremente,
Dos galhos da sapucaia
Nas horas do sol ardente,
Sobre um solo d’açucenas,
Suspensa a rede de penas,
Ali nas tardes amenas
Se embala o índio indolente.
Foi ali que noutro tempo
À sombra do cajazeiro
Soltava seus doces carmes
O Petrarca brasileiro;
E a bela que o escutava
Um sorriso deslizava
Para o bardo que pulsava
Seu alaúde fagueiro.
Quando Dirceu e Marília
Em terníssimos enleios
Se beijavam com ternura
Em celestes devaneios;
Da selva o vate inspirado,
O sabiá namorado,
Na laranjeira pousado
Soltava ternos gorjeios.
Foi ali, foi no Ipiranga,
Que com toda majestade
Rompeu de lábios augustos
O brado da liberdade;
Aquela voz soberana
Voou na plaga indiana
Desde o palácio à choupana,
Desde a floresta à cidade !
Um povo ergueu-se cantando  - Mancebos e anciãos -
E, filhos da mesma terra,
Alegres deram-se as mãos:
Foi belo ver esse povo
Em suas glórias tão novo,
Bradando cheio de fogo:
Portugal ! somos irmãos !"
MINHA TERRA P2;Casimiro de Abreu;"Quando nasci, esse brado
Já não soava na serra
Nem os ecos da montanha
Ao longe diziam - guerra !
Mas não sei o que sentia
Quando, a sós, eu repetia
Cheio de nobre ousadia
O nome da minha terra !
Se brasileiro eu nasci
Brasileiro hei de morrer,
Que um filho daquelas matas
Ama o céu que o viu nascer;
Chora, sim, porque tem prantos,
E são sentidos e santos
Se chora pelos encantos
Que nunca mais há de ver.
Chora, sim, como suspiro
Por esses campos que eu amo,
Pelas mangueiras copadas
E o canto do gaturamo;
Pelo rio caudaloso,
Pelo prado tão relvoso,
E pelo tiê formoso
Da goiabeira no ramo !
Quis cantar a minha terra,
Mas não pode mais a lira;
Que outro filho das montanhas
O mesmo canto desfira,
Que o proscrito, o desterrado,
De ternos prantos banhados,
De saudades torturado,
Em vez de cantar - suspira !
Tem tantas belezas, tantas,
A minha terra natal,
Que nem as sonha um poeta
E nem as canta um mortal !  - É uma terra de amores
Alcatifada de flores
Onde a brisa em seus rumores
Murmura: - não tem rival !
Nas horas mortas da noite
Como é doce o meditar
Quando as estrelas cintilam
Nas ondas quietas do mar;
Quando a lua majestosa
Surgindo linda e formosa,
Como donzela vaidosa
Nas águas se vai mirar !
Nessas horas de silêncio,
De tristezas e de amor,
Eu gosto de ouvir ao longe,
Cheio de mágoa e de dor,
O sino do campanário
Que fala tão solitário
Com esse som mortuário
Que nos enche de pavor.
Então - proscrito e sozinho -
Eu solto os ecos da serra
Suspiros dessa saudade
Que no meu peito se encerra
Esses prantos de amargores
São prantos cheios de dores:  - Saudades - dos meus amores,  - Saudades da minha terra !
Esta rosa desbotada
Já tantas vezes beijada,
Pálido emblema de amor;
É uma folha caída
Do livro da minha vida,
Um canto imenso de dor !
Há que tempos ! Bem me lembro...
Foi um dia de Novembro:
Deixava a terra natal,
A minha pátria tão cara,
O meu lindo Guanabara,
Em busca de Portugal.
Na hora da despedida"
ROSA MURCHA P1;Casimiro de Abreu;"Tão cruel e tão sentida
P’ra quem sai do lar fagueiro;
Duma lágrima orvalhada,
Esta rosa foi-me dada
Ao som dum beijo primeiro.
Deixava a pátria, é verdade,
Ia morrer de saudade
Noutros climas, noutras plagas;
Mas tinha orações ferventes
Duns lábios inda inocentes
Enquanto cortasse as vagas.
E hoje, e hoje, meu Deus?!  - Hei de ir junto aos mausoléus
No fundo dos cemitérios,
E ao baço clarão da lua
Da campa na pedra nua
Interrogar os mistérios !
Carpir o lírio pendido
Pelo vento desabrido...
Da divindade os arcanos
Dobrando a fronte saudosa,
Chorar a virgem formosa
Morta na flor dos anos !
Era um anjo! Foi p’ro céu
Envolta em místico véu
Nas asas dum querubim;"
ROSA MURCHA P2;Casimiro de Abreu;"Já dorme o sono profundo,
E despediu-se do mundo
Pensando talvez em mim !
Oh ! esta flor desbotada,
Já tantas vezes beijada,
Que de mistérios não tem!
Em troca do seu perfume
Quanta saudade resume
E quantos prantos também !
Na minha terra, no bulir do mato,
A juriti suspira;
E como o arrulo dos gentis amores,
São os meus cantos de secretas dores
No chorar da lira.
De tarde a pomba vem gemer sentida
À beira do caminho;  - Talvez perdida na floresta ingente -
A triste geme nessa voz plangente
Saudades do seu ninho.
Sou como a pomba e como as vozes dela
É triste o meu cantar;  - Flor dos trópicos - cá na Europa fria
Eu definho, chorando noite e dia
Saudades do meu lar.
A juriti suspira sobre as folhas secas
Seu canto de saudade;"
JURITI P1;Casimiro de Abreu;"Hino de angústia, férvido lamento,
Um poema de amor e sentimento,
Um grito d’orfandade !
Depois...o caçador chega cantando
À pomba faz o tiro...
A bala acerta e ela cai de bruços,
E a voz lhe morre nos gentis soluços,
No final suspiro.
E como o caçador, a morte em breve
Levar-me-á consigo;
E descuidado, no sorrir da vida,
irei sozinho, a voz desfalecida,
Dormir no meu jazigo.
E - morta - a pomba nunca mais suspira
À beira do caminho;
E como a juriti - longe dos lares -
Nunca mais chorarei nos meus cantares
Saudades do meu ninho !
Oh ! que saudades que tenho
Da aurora de minha vida,
Da minha infância querida
Que os anos não trazem mais!
Que amor, que sonhos, que flores,
Naquelas tardes fagueiras
À sombra das bananeiras,"
JURITI P2;Casimiro de Abreu;"Debaixo dos laranjais !
Como são belos os dias
Do despontar da existência !  - Respira a alma inocência
Como perfumes a flor;
O mar é - lago sereno,
O céu é - um manto azulado,
O mundo - um sonho dourado,
A vida - um hino d’amor !
Que auroras, que sol, que vida,
Que noites de melodia
Naquela doce alegria,
Naquele ingênuo folgar !
O céu bordado d’estrelas,
A terra de aromas cheia,
As ondas beijando a areia
E a lua beijando o mar !
Oh! dias da minha infância !
Oh! meu céu de primavera !
Que doce a vida não era
Nessa risonha manhã !
Em vez das mágoas de agora,
Eu tinha nessas delícias
De minha mãe as carícias
E beijos de minha irmã !
Livre filho das montanhas,"
MEUS OITO ANOS P1;Casimiro de Abreu;"Eu ia bem satisfeito,
De camisa aberto o peito,  - Pés descalços, braços nus -
Correndo pelas campinas
À roda das cachoeiras,
Atrás das asas ligeiras
Das borboletas azuis !
Naqueles tempos ditosos
Ia colher as pitangas,
Trepava a tirar as mangas,
Brincava à beira do mar;
Rezava às Ave-Marias,
Achava o céu sempre lindo,
Adormecia sorrindo
E despertava a cantar !
Oh! que saudades que tenho
Da aurora da minha vida,
Da minha infância querida"
MEUS OITO ANOS P2;Casimiro de Abreu;"Que os anos não trazem mais !  - Que amor, que sonhos, que flores.
Naquelas tardes fagueiras
À sombra das bananeiras,
Debaixo dos laranjais !
Nestas folhas perfumadas
Pelas rosas desfolhadas
Desses cantos de amizade,
Permite que venha agora
Quem longe da pátria chora
Bem triste gravar: - saudade !
Nas horas ardentes do pino do dia
Aos bosques corri;
E qual linda imagem dos castos amores,
Dormindo e sonhando cercada de flores
Nos bosques a vi!
Dormia deitada na rede de penas  - O céu por dossel,"
NA REDE P1;Casimiro de Abreu;"De leve embalada no quieto balanço
Qual nauta cismando num lago bem manso
Num leve batel!
Dormia e sonhava - no rosto serena
Qual um serafim;
Os cílios pendidos nos olhos tão belos,
E a brisa brincando nos soltos cabelos
De fino cetim!
Dormia e sonhava - formosa embebida
No doce sonhar,
E doce e sereno num mágico anseio
Debaixo das roupas batia-lhe o seio
No seu palpitar!
Dormia e sonhava - a boca entreaberta,
O lábio a sorrir;
No peito cruzados os braços dormentes,
Compridos e lisos quais brancas serpentes
No colo a dormir!"
NA REDE P2;Casimiro de Abreu;"Dormia e sonhava - num sonho de amores
Chamava por mim,
E a voz suspirosa nos lábios morria
Tão terna e tão meiga qual vaga harmonia
De algum bandolim!
Dormia e sonhava - de manso cheguei-me
Sem leve rumor;
Pendi-me tremendo e qual fraco vagido,
Qual sopro da brisa, baixinho ao ouvido
Falei-lhe de amor!
Ao hálito ardente o peito palpita...
Mas sem despertar;
E como nas ânsias dum sonho que é lindo,
A virgem na rede corando e sorrindo...
Beijou-me a sonhar!
Nosso sol é de fogo, o campo é verde,
O mar é manso, nosso céu azul!  - Ai! porque deixas este pátrio ninho
Pelas friezas dos vergéis do sul?"
A VOZ DO RIO – NUM ÁLBUM P1;Casimiro de Abreu;"Lá nessa terra onde o Guaíba chora
Não são as noites, como aqui, formosas
E as duras asas do Pampeiro iroso
Quebra as tulipas e desfolha as rosas.
A lua é doce, nosso mar tranqüilo,
Mais leve a brisa, nosso céu azul!...  - Tupá! Quem troca pelo pátrio ninho
As ventanias dos vergéis do sul?
Lá novos campos outros campos ligam
E a vista fraca na extensão se perde!
E tu sozinha viverás no exílio  - Garça perdida nesse mar que é verde! -
Nossas campinas como doces noivas
Vivem c’os montes sob o céu azul!  - Há vida e amores neste pátrio ninho
Mais rico e belo que os vergéis do sul!
Essas palmeiras não têm tantos leques,
O sol dos Pampas mareou seu brilho,
Nem cresce o tronco que susteve um dia
O berço lindo em que dormiu teu filho!
Nossas florestas sacudindo os galhos
Tocam c’os braços este céu azul!...  - Se tudo é grande neste pátrio ninho
Porque deixá-lo p’ra viver no sul?!
Embora digas: - essa terra fria
Merece amores, é irmã da minha -"
A VOZ DO RIO – NUM ÁLBUM P2;Casimiro de Abreu;"quem dar-te pode este calor do ninho,
A luz suave que o teu berço tinha?!
Eu - Guanabara - no meu longo espelho
Reflito as nuvens deste céu azul;  - Ó minha filha! acalentei-te o sono,
Porque me deixas p’ra viver no sul?!...
Lá, quando a terra s’embuçar nas sombras
E o medroso sol s’esconder nas águas,
Teu pensamento, como o sol que morre,
Há de cismando mergulhar-se em mágoas!
Mas se forçoso t’é deixar a pátria
Pelas friezas dos vergéis do sul,
Ó minha filha! não t’esqueças nunca
Destas montanhas, deste céu azul.
Tupá bondoso te derrame graças,
Doce ventura te bafeje e siga,
E nos meus braços - ao voltar do exílio -
Saudando o berço que teu lábio diga:
“Volvo contente para o pátrio ninho,
“Deixei sorrindo esses vergéis do sul;
“Tinha saudades deste sol de fogo...
“Não deixo mais este meu céu azul!...”"
SETE DE SETEMBRO - A D. PEDRO II P1;Casimiro de Abreu;"Foi um dia de glória! - O povo altivo
Trocou sorrindo as vozes de cativo
Pelo cantar das festas!
O leão indomável do deserto
Bramiu soberbo, dos grilhões liberto,
No meio das florestas!
Lá no Ipiranga do Brasil o Marte
Enrolado nas dobras do estandarte
Erguia o augusto porte;
Cercada a fronte dos lauréis da glória
Soltou tremendo o brado da vitória:  - Independência ou morte!
O santo amor dos corações ardentes
Achou eco no peito dos valentes
No campo e na cidade;
E nos salões - do pescador nos lares,
Livres soaram hinos populares
À voz da liberdade!
Anos correram; - no torrão fecundo
Ao sol de fogo deste novo-mundo
A semente brotou;
E franca e leda, a geração nascente
À copa altiva da árvore frondente
Segura se abrigou!
À roda da bandeira sacrossanta
Um povo esperançoso se levanta
Infante e a sorrir!
A nação do letargo se desperta,
E - livre - marcha pela estrada aberta
Às glórias do porvir!
O país, n’alegria todo imerso,
Velava atento à roda só dum berço
Era o vosso, Senhor!
Vós do tronco feliz doce renovo,
Vede agora, Senhor, na voz do povo
Quão grande é seu amor!
A tarde que expira,
A flor que suspira,
O canto da lira,
Da lua o clarão;
Dos mares na raia
A luz que desmaia,
E as ondas na praia
Lambendo-lhe o chão;
Da noite a harmonia
Melhor que a do dia,
E a viva ardentia
Das águas do mar;
A virgem incauta,
As vozes da flauta,
E o canto do nauta
Chorando o seu lar;
Os trêmulos lumes,
Da fonte os queixumes,
E os meigos perfumes
Que solta o vergel;
As noites brilhantes,
E os doces instantes
Dos noivos amantes
Na lua-de-mel;
Do templo nas naves
As notas suaves,
E o trino das aves
Saudando o arrebol;
As tardes estivas,
E as rosas lascivas
Erguendo-se altivas
Aos raios do sol;
A gota de orvalho
Tremendo no galho
Do velho carvalho,
Nas folhas do ingá;
O bater do seio,
Dos bosques no meio
O doce gorjeio
Dalgum sabiá;
A órfã que chora,
A flor que se cora
Aos raios da aurora,
No albor da manhã;
Os sonhos eternos,
Os gozos mais ternos,
Os beijos maternos
Poesia e amor
E as vozes de irmã;
O sino da torre
Carpindo quem morre,
E o rio que corre
Banhando o chorão;"
SETE DE SETEMBRO - A D. PEDRO II P2;Casimiro de Abreu;"O triste que vela
Cantando à donzela
A trova singela
Do seu coração;
A luz da alvorada,
E a nuvem dourada
Qual berço de fada
Num céu todo azul;
No lago e nos brejos
Os férvidos beijos
E os loucos bafejos
Das brisas do sul;
Toda essa ternura
Que a rica natura
Soletra e murmura
Nos hálitos seus,
Da terra os encantos,
Das noites os prantos,
São hinos, são cantos
Que sobem a Deus!
Os trêmulos lumes,
Da veiga os perfumes,
Da fonte os queixumes,
Dos prados a flor,
Do mar a ardentia,
Da noite a harmonia,
Tudo isso é - poesia!
Tudo isso é - amor!
A alma, como o incenso, ao céu s’eleva
Da férvida oração nas asas puras,
E Deus recebe como um longo hosana
O cântico de amor, das criaturas.
Do trono d’ouro, que circundam os anjos
Sorrindo ao mundo a Virgem-Mãe s’inclina
Ouvindo as vozes d’inocência bela
Dos lábios virginais duma menina.
Da tarde morta o murmurar se cala
Ante a prece infantil, que sobe e voa
Fresca e serena qual perfume doce
Das frescas rosas de gentil coroa.
As doces falas de tua alma santa
Valem mais do que eu valho, oh! querubim!
Quando rezares por teu mano, à noite,
Não t’esqueças - também reza por mim!
Orações - A***
Bálsamo
Eu vi-a lacrimosa sobre as pedras
Rojar-se essa mulher que a dor ferira!
A morte lhe roubara de um só golpe
Marido e filho, encaneceu-lhe a fronte,
E deixou-a sozinha e desgrenhada  - Estátua da aflição aos pés dum túmulo!
O esquálido coveiro p’ra dois corpos
Ergueu a mesma enxada, e nessa noite
A mesma cova os teve!
E a mãe chorava,
E mais alto que o choro erguia as vozes!
..............................................................
No entanto o sacerdote - fronte branca
Pelo gelo dos anos - a seu lado
Tentava consolá-la.
A mãe aflita
Sublime desse belo desespero
As vozes não lhe ouvia; a dor suprema
Toldava-lhe a razão no duro transe.
“Oh! padre! - disse a pobre s’estorcendo
Co’a voz cortada dos soluços d’alma -
“Onde o bálsamo, as falas d’esperança,
“O alívio à minha dor?!”
Grave e solene,
O padre não falou - mostrou-lhe o céu!
Eu me lembro! eu me lembro! - Era pequeno
E brincava na praia; o mar bramia
E, erguendo o dorso altivo, sacudia
A branca escuma para o céu sereno.
E eu disse a minha mãe nesse momento:
“Que dura orquestra! Que furor insano!
“Que pode haver maior do que o oceano,
“Ou que seja mais forte do que o vento?!” -
Minha mãe a sorrir olhou p’r’os céus
E respondeu: - “Um Ser que nós não vemos
“É maior do que o mar que nós tememos,
“Mais forte que o tufão! meu filho, é - Deus!”-
A primavera é a estação dos risos,
Deus fita o mundo com celeste afago,
Tremem as folhas e palpita o lago
Da brisa louca aos amorosos frisos.
Deus"
PRIMAVERAS - I P1;Casimiro de Abreu;"Na primavera tudo é viço e gala,
Trinam as aves a canção de amores,
E doce e bela no tapiz das flores
Melhor perfume a violeta exala.
Na primavera tudo é riso e festa,
Brotam aromas do vergel florido,
E o ramo verde de manhã colhido
Enfeita a fronte da aldeã modesta.
A natureza se desperta rindo,
Um hino imenso a criação modula,
Canta a calhandra, a juriti arrula,
O mar é calmo porque o céu é lindo.
Alegre e verde se balança o galho,
Suspira a fonte na linguagem meiga,
Murmura a brisa: - Como é linda a veiga!
Responde a rosa: - Como é doce o orvalho!
Mas como às vezes sob o céu sereno
Corre uma nuvem que a tormenta guia
Também a lira alguma vez sombria
Solta gemendo de amargura um treno.
São flores murchas; - o jasmim fenece,
Mas bafejado s’erguerá de novo
Bem como o galho do gentil renovo
Durante a noite, quando o orvalho desce."
PRIMAVERAS - I P2;Casimiro de Abreu;"Se um canto amargo de ironia cheio
Treme nos lábios do cantor mancebo,
Em breve a virgem do seu casto enlevo
Dá-lhe um sorriso e lhe entumece o seio.
Na primavera - na manhã da vida -
Deus às tristezas o sorriso enlaça,
E a tempestade se dissipa e passa
À voz mimosa da mulher querida.
Na mocidade, na estação fogosa,
Ama-se a vida - mocidade é crença,
E alma virgem nesta festa imensa
Canta, palpita, s’extasia e goza.
1° de Julho - 1858
Como estás hoje zangada
E como olhas despeitada
Só p’ra mim!  - Ora diz-me: esses queixumes,
Esses injustos ciúmes
Não tem fim?
Que pequei eu bem conheço,
Mas castigo não mereço
Por pecar;
Pois tu queres chamar crime
Render-me a chama sublime"
