titulo;autor;texto
HEBRÉIA;Castro Alves;"Flos campi et lilium convallium 
(Cântico dos Cânticos) 
Pomba d'esp'rança sobre um mar d'escolhos! 
Lírio do vale oriental, brilhante! 
Estrela vésper do pastor errante! 
Ramo de murta a recender cheirosa!. .. 
Tu és, ó filha de Israel formosa...  
Tu és, ó linda, sedutora Hebréia...  
Pálida rosa da infeliz Judéia  
Sem ter o orvalho, que do céu deriva! 
Por que descoras, quando a tarde esquiva  
Mira-se triste sobre o azul das vagas?  
Serão saudades das infindas plagas,  
Onde a oliveira no Jordão se inclina? 
Sonhas acaso, quando o sol declina, 
A terra santa do Oriente imenso? 
E as caravanas no deserto extenso? 
E os pegureiros da palmeira à sombra?!... 
Sim, fora belo na relvosa alfombra, 
Junto da fonte, onde Raquel gemera, 
Viver contigo qual Jacó vivera 
Guiando escravo teu feliz rebanho.. 
Depois nas águas de cheiroso banho 
—Como Susana a estremecer de frio— 
Fitar-te, ó flor do babilônio rio, 
Fitar-te a medo no salgueiro oculto... 
Vem pois!... Contigo no deserto inculto, 
Fugindo às iras de Saul embora, 
Davi eu fora,—se Micol tu foras, 
Vibrando na harpa do profeta o canto... 
Não vês?... Do seio me goteja o pranto  
Qual da torrente do Cédron deserto!...  
Como lutara o patriarca incerto  
Lutei, meu anjo, mas caí vencido. 
Eu sou o lótus para o chão pendido. 
Vem ser o orvalho oriental, brilhante!. 
Ai! guia o passo ao viajor perdido, 
Estrela vésper do pastor errante!... 
Quem dá aos pobres, 
empresta a Deus. 
Eu, Que a pobreza de meus pobres cantos 
Dei aos heróis—aos miseráveis grandes—, 
Eu, que sou cego, —mas só peço luzes... 
Que sou pequeno, — mas só fito os Andes.... 
Canto nest'hora, como o bardo antigo 
Das priscas eras, que bem longe vão, 
O grande nada dos heróis, que dormem 
Do vasto pampa no funéreo chão... 
Duas grandezas neste instante cruzam-se!  
Duas realezas hoje aqui se abraçam!...  
Uma—é um livro laureado em luzes...  
Outra— uma espada, onde os lauréis se enlaçam.  
Nem cora o livro de ombrear coto sabre...  
Nem cora o sabre de chamá-lo irmão...  
Quando em loureiros se biparte o gládio  
Do vasto pampa no funéreo chão. 
E foram grandes teus heróis, ó pátria,  
—Mulher fecunda, que não cria escravos —,  
Que ao trom da guerra soluçaste aos filhos:  
""Parti — soldados, mas voltei-me — bravos!  
E qual Moema desgrenhada, altiva,  
Eis tua prole, que se arroja então,  
De um mar de glórias apartando as vagas  
Do vasto pampa no funéreo chão. 
E esses Leandros do Helesponto novo  
Se resvalaram — foi no chão da história...  
Se tropeçaram — foi na eternidade...  
Se naufragaram—foi no mar da glória...  
E hoje o que resta dos heróis gigantes?...  
Aqui — os filhos que vos pedem pão...  
Além — a ossada, que branqueia a lua,  
Do vasto pampa no funéreo chão. 
Ai! quantas vezes a criança loura  
Seu pai procura pequenina e nua,  
E vai, brincando co'o vetusto sabre,  
Sentar-se à espera no portal da rua...  
Mísera mãe, sobre teu peito aquece  
Esta avezinha, que não tem mais pão!...  
Seu pai descansa — fulminado cedro —  
Do vasto pampa no funéreo chão. 
Mas, já que as águias lá no sul tombaram  
E os filhos d'águias o Poder esquece...  
""'E grande, é nobre, é gigantesco, é santo!...  
Lançai— a esmola, e colhereis—a prece!.  
Oh! dai a esmola... que do infante lindo  
Por entre os dedos da pequena mão,  
Ela transborda... e vai cair nas tumbas  
Do vasto pampa no funéreo chão. 
Há duas cousas neste mundo santas:  
—O rir do infante, —o descansar do morto..  
O berço—é a barca, que encalhou na vida,  
A cova —é a barca do sidéreo porto...  
E vós dissestes para o berço—Avante!—  
Enquanto os nautas, que ao Eterno vão,  
Os ossos deixam, qual na praia as ancoras,  
Do vasto pampa no funéreo chão. 
É santo o laço, em qu'hoje aqui s'estreitam  
De heróicos troncos—os rebentos novos—!  
É que são gêmeos dos heróis os filhos,  
Inda que filhos de diversos povos!  
Sim! me parece que nest'hora augusta  
Os mortos saltam da feral mansão...  
E um ""bravo!"" altivo de além-mar partindo  
Rola do pampa no funéreo chão!..."
O LAÇO DE FITA;Castro Alves;"Não sabes crianças? 'Stou louco de amores... 
Prendi meus afetos, formosa Pepita. 
Mas onde? No templo, no espaço, nas névoas?! 
Não rias, prendi-me 
                  Num laço de fita. 
Na selva sombria de tuas madeixas,  
Nos negros cabelos da moça bonita,  
Fingindo a serpente qu'enlaça a folhagem,  
Formoso enroscava-se 
                   O laço de fita. 
Meu ser, que voava nas luzes da festa,  
Qual pássaro bravo, que os ares agita,  
Eu vi de repente cativo, submisso  
Rolar prisioneiro 
                   Num laço de fita. 
E agora enleada na tênue cadeia  
Debalde minh'alma se embate, se irrita...  
O braço, que rompe cadeias de ferro,  
Não quebra teus elos, 
                   Ó laço de fita! 
Meu Deus! As falenas têm asas de opala,  
Os astros se libram na plaga infinita. 
Os anjos repousam nas penas brilhantes...  
Mas tu... tens por asas 
                  Um
 laço de fita. 
Há pouco voavas na célere valsa,  
Na valsa que anseia, que estua e palpita.  
Por que é que tremeste? Não eram meus lábios...  
Beijava-te apenas... 
                  Teu laço de fita. 
Mas ai! findo o baile, despindo os adornos  
N'alcova onde a vela ciosa... crepita,  
Talvez da cadeia libertes as tranças  
Mas eu... fico preso 
                   No laço de fita. 
Pois bem! Quando um dia na sombra do vale  
Abrirem-me a cova... formosa Pepita!  
Ao menos arranca meus louros da fronte,  
E dá-me por c'roa... 
                  Teu laço de fita."
AHASVERUS E O GÊNIO;Castro Alves;"AO POETA E AMIGO J. FELIZARDO JÚNIOR 
Sabes quem foi Ahasverus?. .. —o precito, 
O mísero Judeu, que tinha escrito  
               Na fronte o selo atroz!  
Eterno viajor de eterna senda...  
Espantado a fugir de tenda em tenda,  
Fugindo embalde à vingadora voz! 
Misérrimo! Correu o mundo inteiro,  
E no mundo tão grande... o forasteiro  
                Não teve onde... pousar.  
Co'a mão vazia—viu a terra cheia.  
O deserto negou-lhe —o grão de areia.  
A gota d'água —rejeitou-lhe o mar. 
D'Asia as florestas—lhe negaram sombra  
A savana sem fim—negou-lhe alfombra.  
                O chão negou-lhe o pó!...  
Tabas, serralhos, tendas e solares...  
Ninguém lhe abriu a porta de seus lares  
E o triste seguiu só. 
Viu povos de mil climas, viu mil raças, 
E não pôde entre tantas populaças 
                   Beijar uma só mão... 
Desde a virgem do Norte à de Sevilhas,  
Desde a inglesa à crioula das Antilhas 
                   Não teve um coração!... 
E caminhou!... E as tribos se afastavam  
E as mulheres tremendo murmuravam 
Com respeito e pavor. 
Ai! Fazia tremer do vale à serra. .. 
Ele que só pedia sobre a terra 
             — Silêncio, paz e amor! — 
No entanto à noite, se o Hebreu passava,  
Um murmúrio de inveja se elevava,  
Desde a flor da campina ao colibri.  
""Ele não morre"", a multidão dizia...  
E o precito consigo respondia: 
                — ""Ai! mas nunca vivi!"" — 
                  _______________ 
O Gênio é como Ahasverus... solitário  
A marchar, a marchar no itinerário 
Sem termo do existir. 
Invejado! a invejar os invejosos. 
Vendo a sombra dos álamos frondosos... 
E sempre a caminhar... sempre a seguir... 
Pede u'a mão de amigo—dão-lhe palmas:  
Pede um beijo de amor— e as outras almas 
Fogem pasmas de si. 
E o mísero de glória em glória corre... 
Mas quando a terra diz: — ""Ele não morre"" 
Responde o desgraçado:—""Eu não vivi!. . ."""
MOCIDADE E MORTE;Castro Alves;"E porto avisto o porto 
Imermo, nebuloso, o sempre noite 
Cahmado—Eternidade. — 
  Laurindo.   
Lasciate ogni speranza, voi ch'entrate. 
Dante. 
Oh! Eu quero viver, beber perfumes  
Na flor silvestre, que embalsama os ares;  
Ver minh'alma adejar pelo infinito,  
Qual branca vela n'amplidão dos mares.  
No seio da mulher há tanto aroma...  
Nos seus beijos de fogo há tanta vida...  
Árabe errante, vou dormir à tarde  
A sombra fresca da palmeira erguida. 
Mas uma vez responde-me sombria:  
Terás o sono sob a lájea fria. 
Morrer... quando este mundo é um paraíso, 
E a alma um cisne de douradas plumas: 
Não! o seio da amante é um lago virgem... 
Quero boiar à tona das espumas. 
Vem! formosa mulher—camélia pálida, 
Que banharam de pranto as alvoradas. 
Minh'alma é a borboleta, que espaneja 
O pó das asas lúcidas, douradas... 
E a mesma vez repete-me terrível, 
Com gargalhar sarcástico: —impossível! 
Eu sinto em mim o borbulhar do gênio.  
Vejo além um futuro radiante:  
Avante! —brada-me o talento n'alma  
E o eco ao longe me repete—avante!—  
O futuro... o futuro... no seu seio...  
Entre louros e bênçãos dorme a glórial  
Após—um nome do universo n'alma,  
Um nome escrito no Panteon da história. 
E a mesma voz repete funerária: —  
Teu Panteon—a pedra mortuária! 
Morrer—é ver extinto dentre as névoas  
O fanal, que nas guia na tormenta:  
Condenado — escutar dobres de sino,  
—Voz da morte, que a morte lhe lamenta—  
Ai! morrer —é trocar astros por círios,  
Leito macio por esquife imundo,  
Trocar os beijos da mulher — no visco  
Da larva errante no sepulcro fundo. 
Ver tudo findo... só na lousa um nome,  
Que o viandante a perpassar consome 
E eu sei que vou morrer... dentro em meu peito  
Um mal terrível me devora a vida:  
Triste Ahasverus, que no fim da estrada,  
Só tem por braços uma cruz erguida.  
Sou o cipreste, qu'inda mesmo flórido,  
Sombra de morte no ramal encerra!  
Vivo— que vaga sobre o chão da morte,  
Morto—entre os vivos a vagar na terra. 
Do sepulcro escutando triste grito  
Sempre, sempre bradando-me: maldito! — 
E eu morro, ó Deus! na aurora da existência,  
Quando a sede e o desejo em nós palpita...  
Levei aos lábios o dourado pomo,  
Mordi no fruto podre do Asfaltita.  
No triclínio da vida— novo Tântalo —  
O vinho do viver ante mim passa...  
Sou dos convivas da legenda Hebraica,  
O 'stilete de Deus quebra-me a taça. 
É que até minha sombra é inexorável,  
Morrer! morrer! soluça-me implacável. 
Adeus, pálida amante dos meus sonhos!  
Adeus, vida! Adeus, glória! amor! anelos!  
Escuta, minha irmã, cuidosa enxuga  
Os prantos de meu pai nos teus cabelos.  
Fora louco esperar! fria rajada  
Sinto que do viver me extingue a lampa...  
Resta-me agora por futuro — a terra,  
Por glória—nada, por amor—a campa. 
Adeus! arrasta-me uma voz sombria 
Já me foge a razão na noite fria!.."
AO DOUS DE JULHO;Castro Alves;"(Recitada no Teatro S. João) 
É a hora das epopéias,  
Das Ilíadas reais.  
Ruge o vento—do passado  
Pelos mares sepulcrais.  
É a hora, em que a Eternidade  
Dialoga a Imortalidade...  
Fala o herói com Jeová!...  
E Deus — nas celestes plagas —  
Colhe da glória nas vagas  
Os mortos de Pirajá. 
Há destes dias augustos  
Na tumba dos Briaréus.  
Como que Deus baixa à terra  
Sem mesmo descer dos céus.  
É que essas lousas rasteiras  
São — gigantes cordilheiras  
Do Senhor aos olhos nus.  
É que essas brancas ossadas  
São—colunas arrojadas  
Dos infinitos azuis. 
Sim! Quando o tempo entre os dedos 
Quebra um séc'lo, uma nação... 
Encontra nomes tão grandes,  
Que não lhe cabem na mão!...  
Heróis! Como o cedro augusto  
Campeia rijo e vetusto  
Dos séc'los ao perpassar,  
Vós sois os cedros da História,  
A cuja sombra de glória  
Vai-se o Brasil abrigar. 
E nós, que somos faíscas 
Da luz desses arrebóis, 
Nós, que somos borboletas 
—Das crisálidas de avós, 
Nós, que entre as bagas dos cantos, 
Por entre as gotas dos prantos 
Inda os sabemos chorar, 
Podemos dizer: ""Das campas 
Sacudi as frias tampas! 
Vinde a Pátria abençoar!..."" 
Erguei-vos, santos fantasmas! 
Vós não tendes que corar... 
(Porque eu sei que o filho torpe 
Faz o morto soluçar. . . ) 
Gemem as sombras dos Gracos, 
Dos Catões, dos Espartacos 
Vendo seus filhos tão vis... 
Dize-o tu, soberbo Mário! 
Tu, que ensopas o sudário 
Vendo Roma—meretriz!... 
Ai! Que lágrimas candentes 
Choram órbitas sem luz! — 
Que idéia terá Leônidas 
Vendo Esparta nos pauis?!... 
Alta noite, quando pena 
Sobre Árcole, sobre Iena, 
Bonaparte—o rei dos reis—, 
Que dor d'alma lhe rebenta. 
Ao ver su'águia sangrenta 
No sabre de Juarez!?... 
Porém aqui não há grito, 
Nem pranto, nem ai, nem dor... 
O presente não desmente 
Do seu ninho de condor... 
Mãos, que, outrora de crianças 
A rir— dentaram as lanças 
Dos velhos de Pirajá.... 
De homens hoje, as empunhando, 
Nas batalhas afiando, 
Vão caminho de Humaitá!... 
Basta!... Curvai-vos, ó povo!...  
Ei-los os vultos sem par,  
Só de joelhos podemos  
Nest'hora augusta fitar  
Riachuelo e Cabrito,  
Que sobem para o infinito  
Como jungidos leões,  
Puxando os carros dourados  
Dos meteoros largados  
Sobre a noite das nações."
OS TRÊS AMORES  - I;Castro Alves;"Minh'alma é como a fronte sonhadora 
Do louco bardo, que Ferrara chora... 
Sou Tasso!... a primavera de teus risos 
De minha vida as solidões enflora... 
Longe de ti eu bebo os teus perfumes, 
Sigo na terra de teu passo os lumes. .. 
— Tu és Eleonora..."
OS TRÊS AMORES  - II;Castro Alves;"Meu coração desmaia pensativo, 
Cismando em tua rosa predileta. 
Sou teu pálido amante vaporoso, 
Sou teu Romeu... teu lânguido poeta!... 
Sonho-te às vezes virgem... seminua... 
Roubo-te um casto beijo à luz da lua... 
— E tu és Julieta..."
OS TRÊS AMORES  - III;Castro Alves;"Na volúpia das noites andaluzas 
O sangue ardente em minhas veias rola... 
Sou D. Juan!... Donzelas amorosas, 
Vós conheceis-me os trenos na viola! 
Sobre o leito do amor teu seio brilha... 
Eu morro, se desfaço-te a mantilha... 
Tu és—Júlia, a Espanhola!. . ."
O FANTASMA E A CANÇÃO;Castro Alves;"Orgulho! desce os olhos dos céus  
sobre ti mesmo, e vê como os nomes  
mais poderosos vão se refugiar numa  
canção. 
BYRON. 
— Quem bate? —""A noite é sombrio!"" 
—Quem bate?—""É rijo o tufão!... 
Não ouvis? a ventania  
Ladra à lua como um cão. 
"" —Quem bate?—""O nome qu'importa?  
Chamo-me dor... abre a porta!  
Chamo-me frio... abre o lar!  
Dá-me pão... chamo-me fome!  
Necessidade é o meu nome!""  
— Mendigo! podes passar! 
""Mulher, se eu falar, prometes  
A porta abrir-me?""—Talvez.  
—""Olha... Nas cãs deste velho  
Verás fanados lauréis  
Há no meu crânio enrugado  
O fundo sulco traçado  
Pela c'roa imperial.  
Foragido, errante espectro,  
Meu cajado —já foi cetro!  
Meus trapos — manto real!"" 
—Senhor, minha casa é pobre...  
Ide bater a um solar!  
—""De lá venho... O Rei-fantasma  
Baniram do próprio lar.  
Nas largas escadarias,  
Nas vetustas galerias,  
Os pajens e as cortesãs  
Cantavam!... Reinava a orgia!...  
Festa' Festa! E ninguém via  
O Rei coberto de cãs!"" 
—Fantasmas! Aos grandes, que tombam,  
É palácio o mausoléu!  
—""Silêncio! De longe eu venho. . .  
Também meu túmulo morreu.  
O séc'lo—traça que medra  
Nos livros feitos de pedra —  
Rói o mármore, cruel.  
O tempo—Atila terrível  
Quebra cota pata invisível  
Sarcófago e capitel. 
""Desgraça então para o espectro,  
Quer seja Homero ou Solon,  
Se, medindo a treva imensa  
Vai bater ao Panteon...  
O motim —Nero profano—  
No ventre da cova insano  
Mergulha os dedos cruéis.  
Da guerra nos paroxismos  
Se abismam mesmo os abismos  
E o morto morre outra vez! 
'Então, nas sombras infindas,  
S'esbarram em confusão  
Os fantasmas sem abrigo  
Nem no espaço, nem no chão...  
As almas angustiadas,  
Como águias desaninhadas,  
Gemendo voam no ar.  
E enchem de vagos lamentos  
As vagas negras dos ventos,  
Os ventos do negro mar! 
""Bati a todas as portas 
Nem uma só me acolheu!... 
—""Entra!—: Uma voz argentina 
Dentro do lar respondeu. 
—""Entra, pois! Sombra exilada, 
Entra! O verso—é uma pousada 
Aos reis que perdidos vão. 
A estrofe —é a púrpura extrema, 
Último trono—é o poema! 
Último asilo— a Canção!. . . """
O GONDOLEIRO DO AMOR;Castro Alves;"BARCAROLA 
DAMA-NEGRA 
Teus olhos  são negros, negros,  
Como as noites sem luar...  
São ardentes, são profundos,  
Como o negrume do mar; 
Sobre o barco dos amores,  
Da vida boiando à flor,  
Douram teus olhos a fronte  
Do Gondoleiro do amor. 
Tua voz é cavatina  
Dos palácios de Sorrento,  
Quando a praia beija a vaga,  
Quando a vaga beija o vento. 
E como em noites de Itália  
Ama um canto o pescador,  
Bebe a harmonia em teus cantos  
O Gondoleiro do amor. 
Teu sorriso é uma aurora 
Que o horizante enrubesceu , 
—Rosa aberta com o biquinho  
Das aves rubras do céu; 
Nas tempestades da vida  
Das rajadas no furor,  
Foi-se a noite, tem auroras  
O Gondoleiro do amor. 
Teu seio é vaga dourada  
Ao tíbio clarão da lua,  
Que, ao murmúrio das volúpias,  
Arqueja, palpita nua; 
Como é doce, em pensamento,  
Do teu colo no languor  
Vogar, naufragar, perder-se  
O Gondoleiro do amor!? 
Teu amor na treva é—um astro,  
No silêncio uma canção,  
É brisa—nas calmarias,  
É abrigo—no tufão; 
Por isso eu te amo, querida,  
Quer no prazer, quer na dor... Rosa!  
Canto! Sombra! Estrela!  
Do Gondoleiro do amor."
