titulo;autor;texto
POEMA - INTRODUÇÃO - PARTE I;Juvenal Galeno;"literatura “brasílica”:
Chorei a sorte do povo, que nas ruas, no cárcere, epor toda a parte sofria a escravidão. E vendo entãoque ele ignorava seus direitos, lhe expliquei; vendo--o no sono fatal da indiferença, despertei-o commaldições ao despotismo e hinos à liberdade, — eestimulei-o comemorando os feitos dos mártiresda Independência e de seus grandes d
 
efensores, —preparando-o assim para a reivindicação de seusforos, para a grande luta que um dia libertará oBrasil do jugo da prepotência, e arrancará o povodas trevas da ignorância, e dos grilhões do arbítrio.
É a esses valores que se pretende fazer a Casa de JuvenalGaleno retornar agora, após a reforma e ampliação que o Governodo Estado promove. O novo programa da SECULT de apoio à

 
 A vida que eu levo Ouvi-me esta vez.Então nas caatingas, rompendo espinheiros,Saltando os valados qual passa o tufão,
Que louca vertigem! que fogo no peito!Té o céu desafio no meu campeão!
 Da vida que eu levo Ouvi-me a canção.
Que louca vertigem! Por entre mil troncos
Fugindo aos embates, irado, a gritar,O galho do mato de um pulo salvando,
Caindo na sela sem nunca parar!
 A vida que eu levo
 Ouvi-me cantar, etc.’’
Longo seria enumerar todas as poesias deste primeiroensaio, todos os trechos"
POEMA - INTRODUÇÃO - PARTE II;Juvenal Galeno;"que

hão merecido o elogio dos sensatose entendidos na matéria.Basta folhear as primeiras. Qualquer uma acha-se acimade toda a censura.Em todas elas se encontra o cunho dessa poesia popular,ridente ou melancólica e quase sempre saudosa, t
 
 Revista dos Dois Mundos
, não passava de um
gardeuse de
vaches
, é necessário uma vocação decidida, um gênio especial,

 
dotes raríssimos, e, o mais que é
–
 o segredo da vida íntima quenem por todos pode ser sentido ou descoberto.O grande Beranger não será o tipo que mais tenha influídono espírito do nosso poeta para a formação do artista.Creio que as suas inscrições são virgens. Eco do povo, filhadas suas dores e alegrias, suspirou sua lira e vibraram a nossosouvidos os seus cantos suaves e melancólicos. A lira de J. Galeno não quer a ilustração. Gerada nas selvas,criada no meio das cenas populares, só aspira ao ingênuo repetirdas cantigas apreendidas no colo da cabocla e na jangada dopescador.Beranger, se não me engano, aspirou esfera superior. Se bem que poeta popular, foi mais o sentimento revolucionário queo inspirou. Cantava os sofrimentos de um povo menos rude, eos cantava quase sempre nas ruas da mais populosa das cidadesdo mundo.Bradava
–
 república! e, buscando a frase do vulgacho,
interpretava então os sentimentos de patriotismo que lheref"
POEMA - INTRODUÇÃO - PARTE III;Juvenal Galeno;"ervil

havam a mente.Era o intérprete das turbas. Foi, portanto, o poeta de umacrise popular, e não tanto o puro revelador dos segredos dascriaturas do bom Deus.
 V 
 
Citaremos em abono da nossa asserção as poesiasintituladas o
 Escravo,
o
 Beijo
, o
 Boiadão
, o
 Sambista
 e o
Cajueiro Pequenino
, poesias onde só transpira o estilo popular, noritmo próprio, e em que sabem tão bem modelar os seus cantossimpáticos os homens agrestes do campo.O
Cajueiro Pequenino
, principalmente, é uma das cançõesde que nunca mais nos esquecemos. Reprodução, quase intacta,

 
da tão conhecida cantiga de nossas armas, o poeta não lhe fezmais do que dar colorido e perfumá-la de sua virgem inspiração.O
 Beijo
 é no gênero das
 Faceiras
 de Bruno Seabra. Nãolhe falta o chiste, nem a malícia natural; tem sobre estas asuperioridade da cor local. O poeta soube com tanta graçaharmonizar a fonte, os pés descalços da morena, seu cabeção
rendado, o pote d’água, os
mongongos
 da gentil heroína de seus versos, com a beleza da inspiração, que a cada passo nos julgamosem pessoa a lutar e arrebatar beijos da formosa dos campos.Não menos naturalidade se encontra em outra sob otítulo
 Na Eira
. É a história também de um beijo furtado"
POEMA - INTRODUÇÃO - PARTE IV;Juvenal Galeno;"a umaapan

hadeira de café.
 Eu Não
 é também um mimo. Ainda as graças de umasertaneja. Ai gentes que tirania
Que tamanha ingratidão!
 Água e fogo tu me negas
 À porta do coração?!
São versos estes que não se comentam. Há tantanaturalidade nesta frase que lê-la é o mesmo que aplaudi-la.E muitas neste gênero dulcíssimo ainda poderíamosapontar.Não fecharemos entretanto o volume das
 
 Primeiras
Canções
 sem falarmos na poesia
O Voluntário do Norte
.É uma bravata sem igual. Aí, porém, é justamente onde oautor revela a maior riqueza do fraseado popular. Derramou-oem torrentes.Conhecida é a propriedade com que os nossos homens domato se exprimem na veemência de seus sentimentos.

 
Longe de ser olhado esse modo particular de falar com oresultado do erro da inteligência, da estupidez da gente rude,prova antes a sua argúcia e vivacidade em pintar os objetos ecenas, que em torno de si se passam, com todas as suas coresreais e segundo as suas genuínas impressões.Tem graça esse falar pitoresco:Ele diz: – Eu faço pouco
O Brasil não vence, não! – Ai... cabra! porque não sabesQue eu sou ‘‘corisco e trovão’’.
Espera, espera que o fama Vai ensinar-te, lá vai...
Cabra, não morras! me espera,Dentro do teu Paraguai!
É preciso não conhecer o nosso povo dos sertões paraque"
POEMA - INTRODUÇÃO - PARTE V;Juvenal Galeno;"não se veja

quanto não vai de natural e verdadeiro nestesimpropérios de sertanejo.
 VI
 
Contavam os Lésbios que sendo a cabeça de Orfeu lançadaao Hebro, arrastada pelas águas deste rio, fora um dia, no eternoconvolver-se das ondas do grande mar, atirada às praias da ilhaafamada. E a este fato queriam atribuir a formosura dos seuscampos e bosques, a fragrância de suas flores, a doçura do cantode suas aves e afinal o gênio poético dos seus habitadores.Com efeito foi em Lesbos que nasceram Terpandro, ocriador da lira, Alceu, precursor de Horácio, e Safo, a bela poetisaapaixonada de Fáon.

 
Em a nossa fecunda terra deveria ter também encalhadoalguma cabeça de Orfeu; porque a cada passo jorra a poesia comaquela mesma abundância e vigor com que sobrepujam sobretodo o mundo as alterosas águas do Amazonas, o rei dos rios.
 A natureza é aqui tão pródiga em seus favores e benefícios!
Parece que não houve sacrário que a este Brasil aventuradonão fosse aberto e desvendado.
Tudo respira grandeza; tudo é belo; tudo é poesia!
 
render.Em si vemos graças ao Eterno, a obra fiel da natureza.O prisma refletiu por esta vez a verdade em todo o seuesplendor.Longe dessa poesia artificial, envenenadora de tudo quantohá de verdadeiramente belo e ideal, poesia a que deram o"
POEMA - INTRODUÇÃO - PARTE VI;Juvenal Galeno;"nomede
realismo

, soube-o Deus guiar em suas puras intenções,confirmando o pensamento de Sthendal, que, uma vez por

 
todas digamos, deveria ser a norma de toda a crítica à literaturanacional:‘‘O verdadeiro talento, como essa borboleta das Índias, aque seus filhos dão o nome de
vismara
, nunca deixa de tomar a
cor da planta sobre a qual se alimentou e viveu’’.
 VII
 Novas Lendas e Canções
. E, cousa singular! dir-se-ia que o autor
cada vez mais se deixa impregnar desse perfume dos campos,que sempre constituiu o
cachet 
 de suas composições.Já nas suas antigas produções sob o título
 Na Eira, O Meu Roçado, A Minha Casinha, A Noite na Senzala
, traíra ele, de ummodo expressivo, a vida e profissão que o alimentavam.Neste volume mais do que nunca veio provar quanto é exataa asserção de Dechanel, em seu livro sobre a
Crítica Natural 
,no que toca à influência exercida pela profissão e costumes na vocação e estilo de certos autores. Aos exemplos de Sócrates que foi estatuário, Balzac,estudante de direito, Walter Scott
altorney
 em Escóssia, Gautier
 
–
agricultor.Quem não encontrará em sua frase essa rusticidadeagradável, esse
deshabillé
 característico do lavrador, que semprefoi alheio aos torniquetes da vida dos salões?É mais uma prova que levantamos em favor daesp"
POEMA - INTRODUÇÃO - PARTE VII;Juvenal Galeno;"ontaneidade deste talento

que honra agora as nossas letras.

 
Daí todo o prazer que nos causa a leitura destes versos tãosimples quanto mimosos e cheios de graça.Por certo o nosso poeta não desdenharia repetir a formosaquadra de J. B. Rousseau:
Puis je ne sains: tous ces vers qu’on admireOnt un dèfaut, c’est qu’on ne peut les lire;
Et franchement, quoique um peu censuré,
J’aime encore mieux être lu qu’ admiré.
 A primeira poesia com que deparamos neste volume, nogênero popular, intitula-se
–
 
Os Pescadores
.É uma cantilena descrevendo as vicissitudes da vida deum jangadeiro.Cheia de sentimento e amor, não se perde uma estrofe.Só quem não tiver percorrido as nossas praias e entrado emalguma dessas palhoças, desconhecerá o mérito de semelhantecomposição.
O Forasteiro
 não é menos digno de nota. Não podemosdeixar de ceder à tentação; citaremos desta vez alguns versos:Menina, nos teus cabelosFui aprender a nadar;Faltou-me a luz dos teus olhos,Perdido entre os abrolhos...Não pude mais navegar.É o puro estilo dos improvisadores do s
 
ertão. Seussentimentos estão estampados nestes cinco versos com a maiorexatidão possível.Não podia ser mais feliz a rapsódia.

O sinal do verdadeiro talento é a clareza
–
 a naturalidade. Acontece quase sempre, quando lemos um trabalhoart"
POEMA - INTRODUÇÃO - PARTE VIII;Juvenal Galeno;"ístico de perfeito cunho, acabarmos dizendo:
–
 Seria capaz de realizar outro tanto.Nestas palavras se encerra todo o elogio do autor.Entretanto, só a alma do artista ou do poeta poderádizer que de esforços não lhe foram precisos para chegar a esseresultado.É justamente no parecer fácil que está a grande dificuldade.Nada mais insuperável do que a simplicidade dos versos deHomero, quando pinta o desespero de Andrômaca pela partidade Heitor: seus gritos parecem sair do íntimo da alma do próprioleitor que os aplaude. Ao contrário não pode haver cousa mais fácil do queexibir
tour de force
 à Ponson du Terrail, à primeira vista tãodeslumbrante, quando não passam os seus
 Rocamboles
deperfeitas ilusões de bastidores de teatro.Uma canção talvez tenha custado ao poeta que a produziumuito mais horas de vigílias, muito mais lampejos, do que o volume
in 4º
 do romancista piegas, que se apresenta ousado anossos olhos.Porque as nossas almas cantam, embalando, o
–
 
Cajueiro
 
 Pequenino
, julgamos muita vez essa composição de pouco maisou nada.É um engano.Não será porventura a misteriosa musa popular, a vagamusa, a mais fecunda, a mais original e imaginosa, a que maisfrequentemente ministra assuntos

ao escritor consciencioso?Nesse elaborar da ideia, que atravessando as massas sedesenvolve e frutifica,"
POEMA - INTRODUÇÃO - PARTE IX;Juvenal Galeno;"há um fenômeno maravilhoso digno damais aturada observação.

 
Tu és um sonho queridoDe minha vida infantil,Desde esse dia... me lembro...
Era uma aurora d’abril,
Por entre verdes ervinhasNasceste todo gentil,Cajueiro pequenino,Meu lindo sonho infantil.Que prazer quando encontrei-te
Nascendo junto ao meu lar!− Este é meu, este defendo,Ninguém m’o venha arrancar! −
Bradei e logo cuidoso,Contente fui te alimpar,Cajueiro pequenino,Meu companheiro do lar.Cresceste... se eu te faltasse,Que de ti seria, irmão? Afogado nestes matos,Morto à sede no verão...Tu que foste sempre enfermo
 Aqui neste ingrato chão!
Cajueiro pequenino,Que de ti seria, irmão?Cresceste... crescemos ambos,Nossa amizade também;Eras tu o meu enlevo,O meu afeto o teu bem;

 
Se tu sofrias... eu, triste,
Chorava como... ninguém!
Cajueiro pequenino,
Por mim sofrias também!
Quando em casa me batiam,Contava-te o meu penar;Tu calado me escutavas,Pois não podias falar;Mas no teu semblante, amigo,Mostravas grande pesar,Cajueiro pequenino,
Nas horas do meu penar!
 Após as dores.. me viasBrincando ledo e felizO

-tempo-será-e outros
Brinquedos que eu tanto quis!
Depois cismando a teu ladoEm muitos versos que fiz"
POEMA - INTRODUÇÃO - PARTE X;Juvenal Galeno;"...Cajueiro pequenino,
Me vias brincar feliz!
 
Mas um dia... me ausentaram...
Fui obrigado... parti!
Chorando beijei-te as folhas...
Quanta saudade senti!
Fui-me longe... muitos anos Ausente pensei em ti...Cajueiro pequenino,
Quando obrigado parti!

 
 Agora volto, e te encontro
Carregadinho de flor!
Mas ainda tão pequeno,Com muito mato ao redor...Coitadinho, não crescestePor falta do meu amor,Cajueiro pequenino,Carregadinho de flor.

Um velho caboclo, bem velho e pendido Aos anos e afãos,No alpendre da choça, cercado de filhos, Queridos, louçãos,Cantava o passado, chorava o presente
 À luz do luar,
Dizendo ao começo da lenda sentida:
 − Ouvi meu cantar!− Ouvi-me, meus filhos, a voz deste peito
 De fraco arquejar;Dos nossos maiores vos conto ora a lenda, A história do lar,Da terra cativa que foi já liberta, De paz e folgar...Ouvi-me, chorando, cruentos destinos Ouvi meu cantar.

 
Sou filho de bravos, guerreiros tapuias, Da raça gentil,Que o sul habitava e as plagas do norte Do vasto Brasil,Da tribo valente por todas temidas, Nos feitos sem par:Meu sangue é sem casta, sem casta maldita: Ouvi meu cantar.Meu pai, o tapuia, na briga era fero, Qual tigre a rugir;Minha mãe"
