titulo;autor;texto
A GONÇALVES DIAS;Olavo Bilac;"Celebra-se o domínio soberano
Das grandes tribos, o tropel fremente
Da guerra bruta, o entrechocar insano
Dos tacapes vibrados rijamente,

O maracá e as flechas, o estridente
Troar da inúbia, e o cacique indiano...
E, eternizando o povo americano,
Vives eterno em teu poema ingente.

Estes revoltos, largos rios, e estas
Zonas fecundas, estas seculares
Verdejam nas amplíssimas florestas

Que guardam nele o nome: e a lira que punhas,
Ainda se escuta, a derramar nos ares
O estridor das batalhas que contaste."
GUERREIRA;Olavo Bilac;"A encarnação do mal. Pulsa-lhe o peito
Ermo de amor, deserto de piedade...
Tem o olhar de uma deusa e o altivo aspeto
Das cruentas guerreiras de outra idade.

O lábio ao rictus do sarcasmo afeito
Crispou-se-lhe num riso de maldade,
Quando, talvez, as pompas, com despeito,
Recorda da perdida majestade.  

E assim, com o seio ansioso, o porte erguido,
Corada a face, a ruiva cabeleira
Sobre as amplas espáduas derramada,  

Faltam-lhe apenas a sangrenta espada
Ainda rubra da guerra derradeira,
E o capacete de metal polido."
A UM GRANDE HOMEM;Olavo Bilac;"Heureux au fond du bois la source
pauvre et pure!
LAMARTINE.

Olha: Tinha um começo e fio
De água escassa. Cresceu, tornou-se em rio
Depois. Roucas, as vagas
Engrossa agora, e é turvo e bravo,
Roendo penedos, alagando plagas.

Humilde arroio brando!...
Nele, no entanto, as flores, inclinando
O débil caule, inquietas
Miravam-se. Em seu claro espelho, obando
Se reviam as leves borboletas.  

Tudo, porém: — cheirosas
Plantas, curvas ramadas rumorosas,
Úmidas relvas, ninhos
Suspensos no ar entre jasmins e rosas,
Tardes cheias da voz dos passarinhos, —  

Tudo, tudo perdido
Atrás deixou. Cresceu. Desenvolvido,
Foi alargando o seio,
E do alpestre rochedo, onde nascido
Tinha, crespo a rolar descendo veio...  

Cresceu. Atropeladas,
Soltas, grossas, as ondas apressadas
Estendeu largamente,
Tropeçando nas pedras espalhadas,
No galope impetuoso da corrente...  

Cresceu. É poderoso:
Mas enturba-lhe a face o lodo ascoso...
É grande, é largo, é forte:
Mas, de parcelas cortado, caudaloso,
Leva nas dobras de seu manto a morte.  

Implacável, violento,
Rijo o vergasta o látego do vento.
Das estrelas, caindo
Sobre ele em vão do claro firmamento
Batem os raios límpidos, luzindo...

Nada reflete, nada!
Com o surdo estrondo espanta a ave assustada;
É turvo, é triste agora...
Onde a vida de outrora sossegada?
Onde a humildade e a limpidez de outrora?

Hoje que o mundo aclama!
Semideus poderoso cuja fama
O mundo com vaidade
De eco em eco no século derrama
Aos quatro ventos da celebridade!

Tu, que humilde nasceste,
Traço obscuro mortal, também cresceste
De vitória em vitória,
E, hoje, inflado de orgulhos, ascendeste
Ao sólio excelso do esplendor da glória!...

Mas, ah! nesses teus dias
De fausto, entre essas pompas luzidias,
— Filho soberbo e nobre!
Vais chorar o tempo em que vivias
Como um arroio sossegado e pobre..."
A SESTA DE NERO;Olavo Bilac;"Fulge de luz banhado, esplêndido e suntuoso,
O palácio imperial de pórfiro luzente
E mármore da Lacônia. O teto caprichoso
Mostra, em prata incrustado, o nácar do Oriente.

Nero no toro ebúrneo estende-se indolente...
Gemas em profusão no esfregalho custoso
De ouro bordado veem-se. O olhar deslumbra, ardente,
Da púrpura da Trácia o brilho esplendoroso.

Formosa ancila canta. A aurilavrada lira
Em suas mãos soluça. Os ares perfumando,
Arde a mirra da Arábia em resplendente pira.

Formas quebram, dançando, escravas em coréia...
E Nero dorme e sonha, a fronte reclinando
Nos alvos seios nus da lúbrica Popeia."
O INCÊNDIO DE ROMA;Olavo Bilac;"Havia o incêndio. A ruir, soltas, desconjuntadas,
As muralhas de pedra — o espaço adormecido
De eco em eco acordando ao medonho estampido, —
Como a um sopro fatal, rolam esfaceladas.

E os templos, os museus, o Capitólio erguido
Em mármore frígio, o Foro, as erectas arcadas
Dos aquedutos, tudo as garras inflamadas
Do incêndio fingem, tudo esboroa-se partido.

Longe, reverberando o clarão purpurino,
Arde em chamas o Tibre e acende-se o horizonte...
— Impassível, porém, no alto do Palatino,

Nero, com o manto grego ondeando ao ombro, adorna
Entre os libertos, e ébrio, engrinaldada a fronte,
Lira em punho, celebra a destruição de Roma."
O SONHO DE MARCO ANTÔNIO - I;Olavo Bilac;"Noite. Por todo o largo firmamento
Abrem-se os olhos de ouro das estrelas...
Só perturba a mudez do acampamento
O passo regular das sentinelas.

Brutal, febril, entre canções e brados,
Entrara pela noite adiante a orgia;
Em borbotões, dos cântaros lavrados
Jorrara o vinho. O exército dormia.

Insones, entretanto, veem alguém na tenda
Do general. Esse, entre os mais sozinho,
Vence a fadiga da batalha horrenda,
Vence os vapores cálidos do vinho.

Torvo e cerrado o cenho, o largo peito
Da couraça despido e arfando ansioso,
Lívida a face, taciturno o aspeto,
Marco Antônio medita silencioso.

Da lâmpada de prata a luz escassa
Resvala pelo chão. De quando em quando,
Treme, acunhada à viração que passa,
A cortina de púrpura oscilando.

O general medita. Como, soltas
Do álveo de um rio transvasado, as águas
Crescem, cavando o solo, — assim, revoltas,
Fundas a alma lhe vão sulcando as mágoas.

Que vale a Grécia, e a Macedónia, e o enorme
Território do Oriente, e este infinito
Invencível exército que dorme?
Que doces braços que lhe estende o Egito!...

Que vença Otávio! e seu rancor profundo
Leve da Hispânia à Síria a morte e a guerra!
Fita ele o céu... Que valor tem todo o mundo,
Se nos mundos todos seu olhar encerra!

Ele é valente e ela o subjuga e o doma...
Só Cleópatra é grande, amada e bela!
Que importa ao Império a salvação de Roma?
Roma não vale um só dos beijos dela!...

Assim medita. E alucinado, louco
De pesar, com a fadiga em vão lutando,
Marco Antônio adormece a pouco a pouco,
Nas largas mãos a fronte reclinando."
O SONHO DE MARCO ANTÔNIO - II;Olavo Bilac;"A harpa suspira. O melodioso canto,
De uma volúpia lânguida e secreta,
Ora interpreta o dissabor e o pranto,
Ora as paixões violentas interpreta.

Amplo dossel de seda levantina
Por colunas de jaspe sustentado
Cobre os cetins e a caxemira fina
Do régio leito de ébano lavrado.

Move o leque de plumas uma escrava.
Vela a guarda lá fora. Recolhida,
Os pétreos olhos uma esfinge crava
Nas formas da rainha adormecida.

Mas Cleópatra acorda... E tudo, ao vê-la
Acordar, treme em roda, e pasma, e a admira:
Desmaia a luz, no céu descora a estrela,
Como que a esfinge move-se e suspira...

Acorda. E o torso arqueando, ostenta o lindo
Colo opulento e sensual que oscila...
Murmura um nome e, as pálpebras abrindo,
Mostra o fulgor radiante da pupila."
O SONHO DE MARCO ANTÔNIO - III;Olavo Bilac;"Ergue-se Marco Antônio de repente...
Ouve-se um grito estrídulo que soa
O silêncio cortando, e longamente
Pelo deserto acampamento

Fraco e medroso, o fogo
A branda viração tremeu um pouco, e logo,
Inda pallido e tênue, ergueu-se. Mais violento,
Mais rápido soprou por sobre a chamma o vento :
E o que era labareda, agora, ignea serpente,
Gigantesca, estirando o corpo, de repente
Desenrosca os anéis flammivomos, abraça
Toda a cidade, estala as pedras, cresce, passa,
lioe os muros, estronda, e solapando o solo,
Os alicerces bróca, e estringe tudo. Em rolo
De plúmbeo e denso fumo ennegrecido em torno
Se estende, como um véu, do comburente forno.
Na horrorosa eversão, dos templos arrancado,
Vibra o mármore, salta; abre-se, estilhaçado,
Tudo o que o incêndio aperta... E a fumarada cresce,
Sobe vertiginosa, espalha-se, escurece
O Armamento... E, sobre os restos da batalha,
Arde, voraz e rubra, a colossal fornalha. . .
Mudo e triste, Scipião, longe dos mais, no entanto
Deixa livre correr pelas faces o pranto. . .
Foi que, — vendo rolar, num rápido momento,
Para o abismo do olvido e do anniquillamento
Homens e tradições, revezes e victorias,
Batalhas e trophéus — seis séculos de glorias
Num punhado de cinza —, o general previa
Que Roma, a invicta, a forte, a armipotente, havia
De ter o mesmo fim da orgulhosa Carthago. . .
E, perto, o crepitar ostrepitoso e vago
Do incêndio, que lavrava e inda rugia activo,
Era como o rumor de um pranto convulsivo..."
VIA LÁCTEA - I;Olavo Bilac;"Talvez sonhasse, quando a vi. Mas via
Que, aos raios do luar iluminada,
Entre as estrelas trêmulas, subia
Uma infinita e cintilante escada.

E eu olhava-a de baixo, olhava-a... Em cada
Degrau, que o ouro mais límpido vestia,
Mudo e sereno, um anjo a harpa dourada,
Ressoante de súplicas, feria...

Tu, mãe sagrada! vós também, formosas
Ilusões! sonhos meus! ireis por ela
Como um bando de sombras vaporosas.

E, ó meu amor! eu te buscava, quando
Vi que no alto surgias, calma e bela,
O olhar celeste para o meu baixando..."
VIA LÁCTEA - II;Olavo Bilac;"Tudo ouvirás, pois, ó mãe, bondosa e pura,
Me ouves agora com melhor ouvido:
Toda a ansiedade, todo o mal sofrido
Em silêncio, na antiga desventura...

Hoje, quero, em teus braços acolhido,
Rever a estrada pavorosa e escura
Onde, ladeando o abismo da loucura,
Andei de pesadelos perseguido.

Olha-a: torce-se toda na infinita
Volta dos sete círculos do inferno...
E nota aquele vulto: as mãos eleva,

Tropeça, cai, soluça, arqueja, grita,
Buscando um coração que foge, e eterno
Ouvindo-o perto palpitar na treva."
