titulo;autor;texto
BLOCO I;José do Patrocínio;"Tinha acabado a missa conventual e só à tarde sairia a procissão de prece: a imagem da
Senhora da Piedade no seu andor armado de damasco e festões de flores, carregado por
virgens; o Cristo de lividez poética na sua cruz negra e desornada.
A população de B. V., pequena paróquia cearense, achava-se bem, como quem retesa os
músculos depois de um pesadelo; espanejava-se num contentamento largo como um romper da
alva. A maior parte dos paroquianos estava reunida a rir e a galhofar e acentuava
insistentemente o contraste entre o seu aspecto de hoje e o da véspera.- Olé! - exclamavam uns para os outros. - Você a modo que ouviu o ronco dos guaíbas ou o
zunzum da Itaquatiara?
A diferença era de fato enorme. Desde dezembro uma tristeza, densa como um nevoeiro, tinha
empanado os espíritos ao verem a florescência dos cajueiros esperdiçada aos calores crus do
estio. Nem um suor de tempestade embaciou a atmosfera, sempre de limpidez cristalina.
Começou desta data a devoção solene, mas foi inteiramente vão o apelo para o céu diante da
misantropia da natureza. Os dias secos e ardentes continuaram a devastar o gado, as
plantações e as pastagens, ao passo que os rios e os açudes empobreciam como fidalgos
pródigos.
Também as preces, em vez de levantar os ânimos, copiaram a desolação da terra e tornaram-se
a ceva mística do desalento. Quando as procissões recolhiam ao som das monodias religiosas,
e extinguiam-se os archotes, e apagavam-se as velas dos altares, escureciam igualmente o
templo e as consciências. A claridade elétrica do luar, caindo então sobre a comum tristeza,
parecia o olhar esgazeado de miséria a magnetizar o povoado.
É que o pânico feriu, de improviso, a energia das populações de sudoeste, assim como a de"
BLOCO II;José do Patrocínio;"toda a Província do Ceará. Estatelavam todas ante a perspectiva hostil do futuro, numa
resignação de faquir que se imola, e, como se tivessem um prurido de angústias, recontavam-se
histórias de outras épocas horrorosamente calamitosas. Demais, a superstição abriu logo as
longas asas de corvo e pairou sobre os espíritos acovardados. Um círculo alourado em torno da
lua, a queda de um meteoro, as cores do crepúsculo, tudo foi considerado prenúncio da
esperada desgraça. O templo substituiu a consolação pela ameaça, a esperança pelo
desconforto. Assim é que o vigário Paula, conhecido até então como pouco severo, transformou
a calma desleixada do seu olhar numa austeridade fria de juiz; o tom vulgar de suas práticas de
outrora numa entoação cava de agouro. As donzelas tiritavam o velo; a sua estola, roxa como o
rebordo de uma chaga, e a sobrepeliz, alva como os cogumelos novos, lembravam-lhes o
caixão e a mortalha, e a boca do sacerdote afigurava-se-lhes a entrada da cova inexorável.
A paróquia tornou-se um imenso beatério, que se angustiava profundamente ao ouvir explicado,
com os pormenores da perversidade, um hieróglifo escrito na memória de todos por um
missionário capuchinho. O vigário o repetia pausadamente:- Em 77 muito rasto e pouco pasto; em 78 muito pasto e pouco rasto.
E explicava em seguida:- É que haveis de fugir de vossas moradas, como a caça acuada, tendo horror ao próprio som
das vossas pisadas. A seca, porém, vos seguirá os passos como um cão destro, e para onde
quer que fujais, lá encontrareis o desabrigo, a fome e a morte.
Estava-se já em princípios de março, e a fatalidade parecia ratificar a crueza de tais predições.
Do alto da colina, em que está a sede da paróquia, com suas casas esparsas pela extensão das
ruas embrionárias e pelo contorno da praça; com a sua igreja caiada, sem torres, tendo um
telheiro por campanário, viam-se os incalculáveis estragos do verão. Era um espetáculo solene
e tristonho. A planície estendia-se amplamente, semelhante a uma cicatriz enorme no meio do
verdor sadio das carnaubeiras novas e das grandes touceiras de mandacarus, cujos
grupamentos de estolhos semelhavam-se a órgãos de esmeralda encravados na charneca. Os"
BLOCO III;José do Patrocínio;"pequenos casais, que apareciam ao longe, com os seus tetos de palha, as suas paredes
caiadas, e os currais de pau-a-pique, desertos e negros de estrume, recordavam outras tantas
tendas da penúria. O rio Jaguaribe, perdida a abundância hibernal, estava reduzido a algumas
poças. As suas ribanceiras descobertas, altas como dois muros; o seu leito despido em vastas
coroas de areia, amarelas como o âmbar, pareciam uma vala de cemitério, babando viva gula
de cadáveres. Uma nuvem de urubus, que, dividindo-se e subdividindo-se, ora pousava nas
capoeiras ou no solo, servia de outros tantos marcos à morte. É que o gado caía por centenas,
como num matadouro, ou, faminto e sedento, cambaleava a fraqueza das suas ossadas a roer
folhas mortas pela intensidade da canícula.
Foi, pois, com uma violência selvagem que, na véspera do outono, dia de São José, a alegria
irrompeu do seio da paróquia. O sertanejo não desarmou a rede nem arranjou o mocó para
partir; vestiu-se de gala, porque o verão simulou chegar ao seu termo. Fria e sombrosa
madrugada quebrou a monotonia das auroras enfartadas de sol; uma bafagem úmida bruniu a
copa empoeirada das árvores e cochichou nos capoeirões sussurros de temporal. As nuvens
obesas de chuveiros alegravam como a carranca mais feia na festa dos bobos, e a paisagem
tomou o ar descanoado do convalescente a respirar o ambiente oxigenado de uma hora, ainda
úmida da rega matutina.
A igreja acompanhou-a na brusca mutação. Já não dobrava como por finados; os sinos,
festivamente tangidos, entoavam uma aleluia àquelas vastas ruínas, e os seus repiques
prolongados penetravam pelas casas com um ruído jovial de irmãos recém-chegados,
sacudindo os sonolentos e acordando-os em sobressalto feliz. Também, à hora da missa, não
se via uma população mesta e combalida, mas o povo com a sua alma sonora, enchendo as
ruas e a praça de uma prasenteria anárquica.
Cerca de uma hora da tarde, porém, a sede paroquial ficou silenciosa e quase deserta. A"
BLOCO IV;José do Patrocínio;"multidão, tomando a ladeira norte da colina, escoou-se alvoroçada aspirando os sons de um
búzio, três vezes repetidos. Foram como um pedaço de ímã, caído sobre um monte de limalha,
aqueles sons cabalísticos; atraíram, arrastaram os grupos, que irresistivelmente correram de
encontro a eles. Nem as pessoas mais graduadas, as que não tinham estadiado na praça,
puderam conter-se. O próprio vigário Paula, reunido à família do professor público Francisco de
Queiroz e à do velho criador Rogério Monte, seguiu alegremente ao encalço da multidão.
Havia neste grupo a dignidade da proeminência social. O vigário com seu chapéu redondo de
grandes borlas pretas, a sua batina lilás, colhida na cintura pelos alamares da seda, levava pelo
braço, com um passo cadenciado, a filha mais velha de Queiroz. Chamava-se Eulália e era uma
rapariga de 20 anos, porte direito como a palma da acácia, andar firme e resoluto, ao de leve
sacudido, como o ramo do ingazeiro que molha a ponta na correnteza. Rebentavam-lhe os seios
com o vigor pujante da puberdade, tomando o corpinho branco e justo a conformação das
graviolas verdes. Deles o colo enérgico tirava a curva das estátuas, e como que a cintura
desbastava mais a circunferência de cone truncado junto ao ápice. Coroava-lhe o tronco forte
uma cabeça sibilina, sumida artisticamente numa cabeleira negra, farta e lustrosa, enquadrando
um rosto oval, moreno, corado e carnudo, recebendo um tom de nobreza principesca dos olhos
à flor das pálpebras, vividos, maliciosos, e das narinas graciosamente vincadas. Ia pensativa,
contra o seu hábito que era uma ponta de estroinice, desfeita em risadas de uma alegria clara,
como as pojaduras de leite.
O vigário, por sua vez, guardava um retraimento cavalheiresco, de quem não quer incomodar.
Só de vez em quando demorava o passo, e com uma voz meio autoritária, meio meiga, fazia
notar as devastações da seca.
Estava ao natural. Era frio como as pedras de ara, pouco familiar no trato, exceto para com
Eulália e o professor, com o qual havia colegiado - bom tempo de que um velho muro guardava"
BLOCO V;José do Patrocínio;"a recordação numa frase obscena. O corpo atlético, mas proporcional e correto, ostentava
músculos demais, que no entanto não impediam que se lhe sentisse facilmente o
estremecimento do coração. O rosto de puro tipo indígena, embutido numa cabeleira dura e
corredia, bebia nos negros olhos fundos, extraordinariamente brilhantes, uma expressão entre o
escárnio e a piedade. A sua arma predileta era o desprezo, e, quando lhe chegava aos ouvidos
alguma murmuração desagradável, movia desdenhosamente os ombros para não se desculpar.
Já em meio da ladeira, Eulália, que se tinha limitado a concordar com o seu companheiro,
dirigiu-lhe por sua vez a palavra.- Quero pedir-lhe um favor - disse. - Durante todo esse tempo de prece, o senhor nunca se
lembrou de mim para fazer parte das virgens, que levam o andor de Nossa Senhora. Peço-lhe
que me dê hoje um lugar entre elas.- Não pode ser - respondeu secamente o vigário.- Por quê? - interrompeu-o Eulália, corando com todo o pudor dos seus 20 anos.- Por quê? - repetiu ele com o arrependimento no olhar e meiguice extrema na voz. - Os seus
ombros ficariam magoados.- Não, não é esta a razão - respondeu sorrindo ao galanteio. - Eu não sou melhor do que as
outras. Irena é mais fraca e não se tem magoado; já vê que posso.- Mas que pecados tem você cometido para querer fazer este sacrifício?- Isto é o que se há de dizer, para notar que eu não fui incluída no número das virgens de Nossa
Senhora.- Pois bem - tartamudeou precipitadamente o vigário - diga-lhes que eu não a convidei, porque
entre você e a imagem, esta é que deve carregá-la...
Eulália fitou-o assombrada, mas já a frieza natural do vigário havia-lhe extinguido o
arrebatamento e um sorriso paternal substituíra o grito do coração.- Não se entristeça por ninharias, minha filha. Quer ser uma das virgens? Se-lo-á. Está satisfeita
agora?
Ela meneou afirmativamente a cabeça, mas conservou baixos os olhos, que tinham descaído
num enleio pudico, e pôs-se a demorar o passo para ficar mais próximo da família. Queria evitar
que ainda uma vez ouvisse alguma frase que a impressionasse pela afoiteza estranha. Já, em
poucas horas, era a segunda vez que o vigário assim se lhe dirigia: em casa, jogando as
prendas, conheceu que vinha dele uma sentença que a tornou pensativa: ""Está na berlinda
porque faz pecar sobre a terra"". Agora, num assomo sacrílego dissera-lhe... nem sabia o quê.
Paula, compreendendo que a sua ousadia magoara a companheira, e sem saber como distraí"
BLOCO VI;José do Patrocínio;"la, apontou para o cemitério que se estendia ao lado, como um vasto supedâneo de um cruzeiro
negro, em cujos braços alvejava uma coroa de espinhos. Próximo à base do cruzeiro
branqueava uma carneira toscamente acabada.- Ali dorme o velho vigário, descansado da sua asma -disse ele. - Lembra-se de que, em
pequena, tinha muito medo da sua tosse e dos seus olhos esbugalhados?
Eulália sorriu, olhando para o cemitério como uma criança consolada, e o vigário acrescentou:- Tanto medo como teve ainda agora de mim, não é verdade?
A moça continuou a sorrir, e as suas feições asserenaram. A voz dos outros companheiros veio
envolvê-los, restituindo assim a paz àquele espírito timorato.
Em breve chegaram à planície, e permearam a multidão, que lhes abria alas, cortejando-os e
descobrindo-se reverentemente.- Aí está o que lhes agrada - disse o vigário, assinalando a multidão. - Deus é só para os
apertos.
Os sons do búzio estrugiram com toda a sua aspereza selvagem.
Entraram em um barracão vastíssimo, ruína de um antigo engenho que pertenceu ao patrimônio
dos Montes. Era um lugar triste como o abandono, e acreditavam que servia de ponto de
reunião as almas penadas e de entrevistas de bruxas e demônios.
Muita gente viu aí, por horas mortas, tripúdios tetérrimos de esqueletos à luz de fogos-fátuos,
cadenciados por uivos de cães e pios de noitibós. Cavava-se um enorme abismo que substituía
o solo do casarão por um ambiente visível, de um colorido luminoso como as chamas de álcool
num vaso de cobre. Então, como a poeira no raio de sol coado por uma fresta, a aluvião de
fantasmas, movendo os maxilares num cântico sem eco, ondeava, baralhava-se, passava daqui
para ali, e tomava a catadura marcial dos guerreiros nos baixos-revelos assírios. Depois vinham
meiguices e ameaças, atitudes humilhadas e blasfemas, calmas de lago e cóleras de fera.
Não era também raro contar que se tinha ouvido, à noite, o estrépito soturno de um
desmoronamento. Sentia-se o cavo som do baque das paredes, e depois o prolongado estralar
de telhas que se quebravam. E toda a gente acreditava que era o Engenho mal-assombrado"
BLOCO VII;José do Patrocínio;"que tinha vindo ao chão. No entanto, no dia seguinte, lá estava ele de pé, com os mesmos
buracos no telhado, com os mesmos esteios negros enfileirados como um pelotão de gigantes.
A imaginação popular sancionava estas criações supersticiosas por uma lenda que habitava o
isolamento do triste edifício, enchendo-o de par com o vôo das revoadas negras dos morcegos.
Narrava a lenda sombria uma festa esplêndida, em que se casavam rufos de adufes e cantigas
de violeiros, os trilos das violas com os sapateados e palmas dos dançadores. No meio da festa,
porém, uma horda de facínoras, gente dos Feitosas, entrou e, apunhalando o hospedeiro,
constrangeu a sua esposa formosa a dançar em torno do cadáver ensangüentado, baldão e
ludíbrio dos assassinos. Hoje, as danças dos duendes reproduziam no seu horror aquela cena
medonha.
Tal era o lugar em que se achava a multidão, trepada sobre caieiras de entulho das paredes
desabadas, que tornavam côncava a superfície do solo. Trouxera-a aí uma curiosidade bárbara,
um apetite de desastre e de horror: o espetáculo das cobras com o Feiticeiro.- Hum! - ponderavam alguns. - Esse demônio bate a bota brincando.- Que o leve o diabo! - respondiam outros. - Ele faz-se besta com bichos.- Quem sabe se as cobras têm dentes?- No Crato houve quem duvidasse e pagou com a vida a experiência.- Olhem, está-se mesmo a ver que ele tem parte com o diabo - apontavam outros. - Que olhos!
Do meio da grande massa popular destacavam-se dois indivíduos, que havia mais de um mês
habitavam a ruína. Um, ainda criança, teria 12 para 13 anos e era robusto, muito esperto, de
olhos cheios de vivacidade, boca rasgada entre os lábios grossos, e gengivas vermelhas como
cardos, em que se embutiam dentes alvos e sãos; os da frente, no maxilar superior, agudos
como os caninos. O outro era um homem de corpo desenvolvido, fisionomia carrancuda,
antipática, olhares suspeitosos, gestos untuosos de emboscado, palavra humilde e atenciosa.
Levava uma vida misteriosa, sempre em lugares tristes e de má fama. Filho do norte da
Província, contavam que, a primeira vez que foi visto, saía da Bajara, a casa encantada que
mãos ignoradas cavaram no maciço da Serra Grande, muito espaçosa, com grandes mesas e
bancos talhados na homogeneidade da rocha. Quase toda a Província o conhecia e tinha-lhe
medo pela sua profissão incrível: brincar com um bando de cascavéis. Chamavam-no por isso o"
BLOCO VIII;José do Patrocínio;"Feiticeiro.
A voz da multidão punha no recinto um sussurro de mosqueiro; as mulheres conchegavam-se,
os homens punham-se em bicos de pés e tiravam os chapeirões para não incomodar os
vizinhos. O pequeno, o Cabrazinho, conforme o chamavam, pôs-se a intermear o povo e a
receber no seu chapéu de couro moedas de cobre. Finda a miúda cobrança, começou o
desejado espetáculo, na plenitude do seu assombro.
No meio do barracão havia uma espécie de abajur, feito de um estreito traçado de taquara,
dentro do qual podia-se estar de pé, à vontade, e girar numa área de vinte palmos. Para aí
entraram o Feiticeiro e o pequeno, ambos carregando gaiolas onde se viam os corpos das
cascavéis, grossas como um antebraço atlético, medonhas apesar do seu fino colorido marrom
hidrargirado. O pequeno veio depois colocar-se fora, junto à portinhola que servia de entrada, e
aí recebia as gaiolas. esvaziadas pelo Feiticeiro, que sacudia no chão os seus venenosos
artistas.
O terror começou a invadir a multidão, que silenciou e ficou a olhar embasbacada para aquele
ente privilegiado, sereno, embora rodeado pela morte. A musculação forte das omoplatas como
que tinha cintilações sobrenaturais; as nuas barrigas das suas pernas esgalgadas pareciam ter
concentrado toda a força vivaz da agilidade. As cascavéis fitavam-no com a submissão de cães
amigos.
O Feiticeiro rugiu então seu maracá, e aos sons do bater das pedras na esfera da lata, corno
que se propagou uma alucinação geral. Os espectadores davam-se vaivéns para se arrumarem
em bom lugar; as cascavéis, que estavam enroscadas e como que receosas, davam botes e
queriam investir. Mas o maracá parou de súbito, e os oito monstros, raivando nas suas enormes
rodilhas, por sua vez principiaram a chocalhar, vibrando as pontas das caudas, conformadas
como a extremidade dos sabugos de milho."
BLOCO IX;José do Patrocínio;"O maracá ressoou novamente, instigando-lhes a fúria. Corria-lhes pelo corpo um arrepio de
cólera, que lhes dava às cabeças contrações epilépticas, e lhes descerrava convulsamente os
queixos, abrindo saída às línguas trífidas e vermelhas, rápidas como relâmpagos. O Feiticeiro,
postado junto às malhas da rede, olhava-as com desdém e dizia frases de palhaço, repassadas
de escárnio boçal. Os espectadores tremiam e tinham os sorrisos desenxabidos de quem
dissimula o medo. Mas os demônios do sertão pareciam recear e apenas continuavam nos seus
botes céleres e repetidos, que não atingiam o alvo.- Coisas ruins! - disse por entre os dentes o Feiticeiro. - E tirando da cinta uma varinha e
fustigando-as: - Fora! Não prestam para nada.
O  desprezo como que doeu às terríveis envenenadoras. Desenroscando-se e levantando-se ao
meio corpo, atiraram-se ao provocador. Neste momento, porém, saltou dentro do circo o
pequeno caboclo, e, seminu como
seu pai, pôs-se como ele a agitar o seu pequeno maracá, Possessos e furibundos, os monstros
acometeram o tememário, impetuosos como se o fossem estrangular.- Devagar! Devagar! - bradou o Feiticeiro. - Devagar!
O terror tinha invadido até a medula dos espectadores boquiabertos: alguns tentaram fugir; as
mulheres tiritavam e chamavam baixinho por Jesus. Nas imaginações exaltadas, viam já
estrebuchando por terra a pobre criança, talvez violentada a tamanha temeridade. O pequeno,
porém, sorria, enquanto as cascavéis trepavam-lhe pelo corpo e enovelavam-se-lhe pelas
pernas, pela cintura e pelos braços. O terror aumentava, a morte afigurava-se iminente; mas as
cascavéis, em vez de crivarem-no de dentadas, limitaram-se a lamber-lhe o pescoço e as
curvas, com a brandura de um cão a afagar seu dono. O rapazinho, encolhendo-se, assim como
quem sente frio, continuava a rir sossegado, dentro de sua túnica de veneno, sonora como um
chichard de guizos.
O Feiticeiro aproximou-se então, e, fitando os monstros com o seu olhar magnético, prosseguiu
a enfurecê-los pelo rugir do maracá. Como que afadigadas, as cascavéis, longe de se irritarem,"
BLOCO X;José do Patrocínio;"deitaram as cabeças submissamente. Então o Feiticeiro, semelhante ao hortelão
desentrançando videiras, pôs-se a desenleá-las e a fechá-las nas gaiolas. Duas apenas, as
maiores, ficaram fora, prontas como duas armas engatilhadas.
Depois que o rapazinho saiu do circo entre os aplausos da multidão, o maracá rugiu
veementemente, provocando nas duas cobras, gigantescas, cólera de energúmeno com
espasmos de histeria. Partiram com setas e, ora acometendo, ora enovelando-se, moviam as
línguas nervosamente, começando já a querer morder os próprios corpos.
O Feiticeiro, sacudindo-se cadenciadamente ao som do rude instrumento, numa dança
selvagem, resmoneava uma canção lúgubre; os espectadores olhavam com o olhar os
pesadelos.
Afinal, o homem sobrenatural acocorou-se ante as duas possessas que o fitavam, agitando-se
quase imperceptivelmente, como os gatos, quando face a face se encaram a ensaiar carícias
brutais dos seus brutais amores. O instrumento selvagem continuou a espalhar o seu fermento
de guerra, até que foi vibrado como ameaça. Num salto rápido e temeroso, as cascavéis
galgaram a distância que se lhes interpunham, e com expansabilidade de uma cólera explosiva,
agarraram-se aos braços do seu provocador.- Quem compra miçangas?!  gritou o caboclo, com um sorriso mau.
Mas, em seguida, deixando-se cair por terra, gemeu sentidamente:- Ai! E desta vez que eu morro.
Rompeu então em estrebuchamentos convulsos, compungentes, que não tinham força
entretanto para desvencilhá-lo das vingativas dentadas. O pequeno, junto da portinhola, tinha
um olhar amedrontado, ao passo que seu pai ia aos poucos diminuindo os movimentos e caindo
num relaxamento muscular assustador.- Está morto! Está morto - gritaram. - Desencantou; fuja quem não quer morrer!
E a multidão inteira alvorotou-se, e acotovelando-se, atropelando-se, fugiu do medonho lugar,
enquanto o pequeno, rindo muito, penetrava no circo para desembaraçar os braços de seu pai
dos venenosos ornatos.- Malvados! - disse o Feiticeiro levantando-se. - Deixar-me-iam morrer como um cachorro!"
