titulo;autor;texto
POEMA - INTRODUÇÃO - PARTE I;Luís Guimarães Junior;"Os poetas propagandistas, cantando a Justiça, derruindo velhas fórmulas
políticas e religiosas, fazendo a apoteose da oficina e da blusa, ou conclamando,
em rutilantes alexandrinos, as invenções, descobertas e sínteses da ciência e da
indústria, são prosadores castrando em rimas imprevistas ou sonoras os
períodos que vão escrevendo. Como agente de propaganda, a poesia é o mais
frouxo dos veículos literários; e com a sua organização feminil, os seus delicados
moldes, o artifício das rimas e o mosaico das imagens, ela amesquinha a
magnitude e o ímpeto dos altos problemas que tem em mira vulgarizar. Ela vive
do meio sonho vago, que deixa o poeta ir idealizando o seu mundo em doces e
flutuantes quimeras. Nas manifestações do belo, toma por lei uma relação
precisa e justa entre as concepções individuais e o elemento tradicional.
Estabelece as correlações íntimas, as misteriosas afinidades da religião com o
amor, e do amor com a família e com a pátria. Todas as crenças e todas as
abnegações que a mocidade irradia sem lhes indagar da lógica dirigente, ou
querer justificar as explosões cavalheirescas, constituem os seus diletos
subsídios e fontes de inspiração profunda.
Tais aspirações são já uma poesia instintiva, esparsa por todos os espíritos
moços, mas incapaz de crist"
POEMA - INTRODUÇÃO - PARTE II;Luís Guimarães Junior;"alizar por si, num cântico dotado de formas
literárias. Mas eis que o poeta chega e dá corpo a estes sons errantes, a estes
vortilhões da imaginação coletiva, a estas tendências sonoras da alma,
sublimada por aspirações de mais generosa altura; chega e dá cor, acento,
ironia e vida aos trechos anonimamente sentidos e colaborados por uma raça,
ou simplesmente por uma geração.
Tal é na poesia romântica o papel de Byron, de Schiller, de Madame de Staël,
Thomaz Moore, Chateaubriand e Jean Paul, interpretando a inquietação
atormentada, a febre delirante, e o frenético amor da sociedade do seu tempo.
O público vem então maravilhosamente disposto a compreender essa poesia
que ele propulsionou sem assinar e que reflete o seu momento psicológico, ao
tempo que lhe está fortalecendo as tendências e lisonjeando as necessidades e
as predileções. Idade de ouro para os poetas, aquela em que o público é
inteiramente o contemporâneo da poesia vigente, e onde o sentimento

individual do artista tem pouco a fazer numa obra tão intimamente enraizado
no coração da turba[1].
Este estado d’inteira adaptação entre a obra dum espírito e o espírito duma
época dá-se quando a humanidade atravessa estados de incerteza ou de
angústia, ou às horas de transição em que uma idade está morta, quando ainda
outra mal vem alvorecendo. O poeta faz-se então"
POEMA - INTRODUÇÃO - PARTE III;Luís Guimarães Junior;"o apóstolo da ansiedade
geral, o profeta da aurora que nem boceja sequer ainda entre os escombros. É
Leopardi em Recanati, aos vinte anos, pondo a sua tristeza de raquítico em
versos febris e límpidos, e elevando-se por ela à expressão mais patética da dor.
É Herculano em Plymouth, chorando as saudades da pátria crucificada ao
miguelismo, ou inspirando as suas elegias nos conflitos liberais de 32 e 34. É
Byron tentando esculpir, na selvageria das suas figuras, a revolta do gênio
contra os pequenos moldes da sociedade artificial que lhe reprovava as
excentricidades. Walter Scott, o clarificador da história, segundo Hazlitt,
renovando o interesse histórico na literatura escocesa por um gênio de narrador
sem rival. E Baudelaire, Musset, Rollinat e Richepin, exprimindo a saciedade
cética e a inquietação nevrótica e doentia das nossas civilizações atuais.
Porém, a crise passa, resolveu-se a dificuldade política, o cadafalso ou o exílio
levaram o tirano que motivara a revolução. Na sua labutação incansável de
mineiro, a humanidade depara com novos filões vitais que lhe avigorentam a
trama, sacudindo-lhe a tristeza enervante. Uma outra era sorri. Aquele estado
do ser moral coletivo evaporou-se e foi curado. E eis que a musa desflorada
emurchece da"
POEMA - INTRODUÇÃO - PARTE IV;Luís Guimarães Junior;"frescura radiosa que primeiro fizera chispar cintilas nos corações
opressos! Por forma que se escreverá desta poesia o que Guy Patin já dissera de
certos remédios em moda — que era i-los tomando enquanto curavam. De fato,
quem compreende hoje a musa católica de Chateaubriand? Onde reboa um eco
sequer da poesia jacobita de Diana de Vernon? Que heróis de Byron não fariam
hoje rir François Coppée e Catulle Mendès? O que há de atualidade no amor
heroico de D. Carlos, e no amor cavalheiresco de Aben-Hamet? Como sentir
pulsar uma alma, mesmo, na Idade Média de Victor Hugo? Esses grandes
bocados são vozes sem eco na alma moderna, alguns já tão frios que parecem
só feitos de ênfase, tão longe vamos do pensamento que os ditou. Não
correram muitos anos desde que Napoleão III desceu à história, e já declinam os
Châtiments, como se a mediocridade política da figura que os inspirou descorar
pudesse a poesia demolidora do nosso velho colosso romântico. A humanidade
não quer dos pequenos interesses circunscritos aos pequenos grupos: por isso
depressa passa do gosto essa poesia de episódios locais. Entanto ela tem as suas
grandes paixões indomáveis, eternamente vivas, sangrentas e fecundas, as suas
grandes cóleras, as suas soberbas forças heroicas; e a musa que as vibra é"
POEMA - INTRODUÇÃO - PARTE V;Luís Guimarães Junior;"a
única que nunca morre, pois ela presta a sua voz à alma mesma da humanidade.
Sem arcabouço para suportar a formidável massa dos assuntos
contemporâneos, secos, positivos, que não deixam margem a voos de

imaginação, e dos quais só a monografia, o tratado de ciência, o panfleto, o
romance de análise etc. podem dar conta e fazer correr mundo; a poesia, como
vulgarizadora, carece de fôlego, e, tentada há pouco ainda, está agonizante, ou
morreu à nascença.
Os assuntos práticos de que se convulsiona a moderna vida, esses vastos
problemas que fecundam as riquezas e centuplicam as ideias, criando
necessidades, gostos, aptidões e pontos de vista, sobre que logo outras
indústrias e interesses vão polarizar-se, anquilosar-se, e contundir-se —
determinam no mundo uma circulação tão brusca e constante, prendem o
homem em tal gargalheira de atividades, que o seu coração, tornado egoísta
pela fadiga, perde a impressionabilidade de sentir e traduzir aquelas emoções
líricas e finas, que em outras juvenis idades eram a paixão dos espíritos nobres,
e entretinham a vida sóbria, tudo explicando pelo sentimento, exprimindo tudo
pelo símbolo, e pondo na palestra e na escrita, entre imagens e juízos simples,
essa gotejante alegria solar, que nas zonas temperadas faz"
POEMA - INTRODUÇÃO - PARTE VI;Luís Guimarães Junior;"tão exuberantes as
culturas da terra e as manifestações da inteligência. Em nossos dias o espírito
positivo matou o sentimento poético, que o exclusivismo individualista está
acabando de matar. A análise encaneceu a juventude do nosso coração, e já não
vamos com túnicas de linho branco, coroados de flores, saudar a primavera
entre evoés pagãos, ébrios do amor panteísta que se nos entornava da alma em
golfões, como um Chipre raro, das belas ânforas de ágata, vermiculadas de oiro.
O amor, quando não seja um cálculo, transfaz-se numa extravagância dos
sentidos, que falsearam a impressão para que tinham sido criados. Quebrou-se
o elo natural entre a turba e o poeta. Cada lira restringe a sua glória a pequenos
clubs de crentes maníacos, que passam a vida imobilizados no êxtase de
aberrações postas em rima, aberrações que, pela estranheza, dir-se-iam
pescadas no álcool dos museus de teratologia hospitalar. Desnecessário
exemplificar. É ler a mor parte dos versos célebres dos nossos dias, as Odes
Funambulescas de Bainville, as Chansons des Gueux e as Blasphèmes de
Richepin, as Flores do Mal de Baudelaire, as Nevroses de Rollinat, e todos os
volumes que mais ou menos gravitam à volta destes. Jamais o metro foi tão
rico, a rima tão hilariante"
POEMA - INTRODUÇÃO - PARTE VII;Luís Guimarães Junior;", a língua tão plástica, e tão embelezada a imagem,
duma cinzelura vaporosa! Mas o talento, rebuscando os efeitos de arte mais
excêntricos, e querendo ferir por uma originalidade arquidoida, estrangula a voz
dos sentimentos naturais, turba a grande veia límpida da inspiração, falseia a
sinceridade da alma que se queixa ou que exulta, mira efeitos teatrais na
emoção que explora, caindo numa sorte de monomania bizarra. Tudo neste
certâmen condiz ao fim: a rima procurada entre palavras obsoletas, as imagens
colhidas entre os fenômenos mais repelentes, mais extravagantes, mais
recônditos, e o tema inicial quase sempre talhado em podridões, misérias,
infâmias ou bufonerias. Eu não nego o gênio destes extraordinários analistas.
Quantas vezes Rollinat me tem dado pesadelos! Mas tantos desses patológicos
assuntos não diriam melhor numa monografia científica? Cuidam os poetas

pagar com as maravilhas da fatura a frialdade ou o artifício do sentimento
interior — e assim ficaram as estrofes, enfileiradas, enigmáticas, mortas, como
uma avenida de esfinges que leva à necrópole deserta.
Resta a poesia puramente lírica, a poesia que o amor glorifica, nas
transfigurações do idílio e paixão platônica das puras formas: bando de visões
tecidas de sonho e nuvem"
POEMA - INTRODUÇÃO - PARTE VIII;Luís Guimarães Junior;", desejos duma serena plenitude que todos os seres
compartilhem, desde a alga microscópica até ao homem de gênio — poesia
perfumada dessa ternura infinita, castíssima, maternal à força de íntima, que
vibra no poeta ante os mais leves aspectos sensíveis. Através das evoluções do
espírito moderno, no vortilhão doentio dos que todos os dias renovam os seus
ideais, há pequenas sinagogas de contempladores e eternos crentes, imutáveis
como o dogma, aos quais as velhas coisas inspiram culto apaixonado, e que se
comprazem em cultivar os afetos simples do espírito, ingenuamente expressos,
ingenuamente sentidos, e camonianamente cantados. A poesia que eles fazem,
repassada do sentir da multidão anônima, parece antiga como a estatuária
grega, e como ela eterna pela graça rústica que acentua, e pela límpida e franca
linguagem que emprega. Nesta situação, o poeta lírico é um ser à parte, uma
espécie de divino sonâmbulo, cristalizando dor a dor, soneto a soneto, na sua
alma, como numa concha, à força de concentração, contemplação, o grande
ideal de amor absorvente, que se alimenta de puríssimas reminiscências de
beleza, e flutuante nas asas do êxtase, tudo vai sagrando por onde quer que
passe. É o caso de João de Deus, recolhido"
POEMA - INTRODUÇÃO - PARTE IX;Luís Guimarães Junior;"nas contemplações da sua mocidade
algarvia, rimando singelos amores com raparigas do campo, e dizendo as
saudades de Marina morta, e a meiguice frágil de Margarida, naquela forma
primitiva do lirismo português, que no século XVI radiava em fragmentos de Gil
Vicente, Sá de Miranda e Camões.
Instintivamente, indaga-se a quantos séculos de distância está a voz que se
escuta rimando essa canção paradisíaca e divina, onde entanto lateja o coração
do mundo, e quer-se perscrutar a maneira por que eles têm conservado, na
complexa vida deste século, a limpidez de espírito da antiguidade. Conhecem o
lied? É um gênero de poesia vaporosa e ingênua, que se encontra por toda a
Alemanha, incorporado na vida do povo. Através da sua forma fantasiada, das
suas divagações nebulosas, o lied conserva uma lado real, que se prende a todos
os atos do viver alemão e vai maravilhosamente a essa língua de todos os
ritmos, hábil para todas as versificações, e cujo efeito acústico Philarete Chasles
compara a um ressoar de órgão com tubos de cobre, em que as notas solenes se
vão perdendo através do espaço. Os velhos lied são anônimos. Os modernos,
que se inspiram na tradição, tarde ou cedo, perderão a rubrica, ao entrarem no
reportório da massa. O lied foi muito tempo exclusivo do p"
POEMA - INTRODUÇÃO - PARTE X;Luís Guimarães Junior;"ovo, que traduzia por
ele as tendências e emoções da sua alma, o amor, as harmonias da boda, o
nascimento do primeiro filho, o entusiasmo da caça, o poder da superstição, a
cólera, o ciúme, o luto... Associava no espírito emoções dispersas, insuflando

vida nas lembranças arredadas da memória. É o canto familiar da Alemanha; e
trazendo refrigério às existências votadas aos rudes misteres, nenhum outro
guarda como ele essa floração exótica de nacionalidade, que isenta por todo o
sempre das frias versões estrangeiras. Porque se não trata bem da balada
escandinava, com olhos cor de violeta, alvorecida ao luar, na brancura
imaculada dos fiordes; nem há nesta poesia a petulância da canção
berangeriana, ou o sarcasmo do epigrama latino, à André Chenier. É um canto
bonacheirão como a fábula, com o ceticismo ligeiro, a graça loira e feminina, a
sensibilidade nova e virginal, pro cedendo um pouco à maneira das comédias
poéticas de Shakespeare, e deixando dormir no fundo um vago bom humor de
burgomestre apaixonado por tulipas, típico no país de Henri Heine, como esse
outro humorismo de Yedo e Nagasaki, que até nas esculturas dos templos abre
o seu riso, entre infantilmente surpreso e velhaco. Para estas inefáveis
serenadas, os maiores compositores"
