autor,titulo,texto
Augusto dos Anjos,Voz do Infinito,"No excêntrico labor das minhas normas Na Terra, muita vez me consumia Perquirindo nas leis da Biologia As expressões orgânicas das formas. O fenômeno apenas, porque o fundo Do númeno às eternas rutilâncias, Eram partes do Todo nas Substâncias Desde o estado prodrômico do mundo. Com o espírito absconso em paroxismos, No rubro incêndio de batalha acesa, Via Deus adstrito à Natureza, Deus era a lei de eternos transformismos. Concepção panteística, englobando As substâncias todas na Unidade, Perpetuando-se em continuidade, A essência onicriadora reformando. O corpo, desde o embrião inicial, Era um mero atavismo revivendo; A alma era a molécula, sofrendo, Afastada do Todo Universal; Dominava-me todo o medo horrível, Do meu viver, que eu via transtornado: Eu era um átomo individuado Em cerebralidade putrescível. A luz dessa dourada ignorância, E com certezas lógicas, numéricas, Notava as pestilências cadavéricas Iguais à carne Angélica da infância, A sutilez do arminho que se veste, A coroa aromática das flores, Irmanadas aos pútridos fedores De emanações pestíferas da peste! Extravagância e excesso jamais visto, De idéia que esteriliza e desensina, Loucura que igualava Messalina À pureza lirial da Mãe do Cristo. Assim vivi na presunção que via, Dos cumes da Ciência e do saber, Os princípios genéricos do ser, No pantanal da lama em que eu vivia. Vi, porém, a matéria apodrecer, E na individualidade indivisível Ouvi a voz esplêndida e terrível Da luz, na luz etérica a dizer: “Louco, que emerges de apodrecimentos, Alma pobre, esquelético fantasma Que gastaste a energia do teu plasma Em combates estéreis, famulentos... Em teus dias inúteis, foste apenas Um corvo ou sanguessuga de defuntos, Vendo somente a cárie dos conjuntos, Entre as sombras das lágrimas terrenas. Vias os teus iguais, iguais aos odres Onde se guarda o fragmento imundo. De todo o esterco que apavora o mundo E os tóxicos letais dos corpos podres. E tanto viste os corpos e as matérias No esterquilínio generalizados. E os instintos hidrófobos, danados, Em meio de excrescências e misérias Que corrompeste a íntima saúde Da tua alma cegada de amargores, Que na Terra não viu os esplendores E as ignívomas luzes da virtude. Olhos cegos às chamas da bondade De Deus e à divina misericórdia, Que espalha o bem e as auras da concórdia No coração de toda a Humanidade. Descansa, agora, vibrião das ruínas. Esquece o verme, as carnes, os estrumes. Retempera-te em meio dos perfumes Cantando a luz das amplidões divinas.” Calou-se a voz. E sufocando gritos, Filhos do pranto que me espedaçava, Reconheci que a vida continuava Infinita, em eternos infinitos!"
Augusto dos Anjos,Vozes de Uma Sombra,"Donde venho? Das eras remotíssimas, Das substâncias elementaríssimas, Emergindo das cósmicas matérias. Venho dos invisíveis protozoários, Da confusão dos seres embrionários, Das células primevas, das bactérias. Venho da fonte eterna das origens, No turbilhão de todas as vertigens, Em mil transmutações, fundas e enormes; Do silêncio da mônada invisível, Do tetro e fundo abismo, negro e horrível, Vitalizando corpos multiformes. Sei que evolvi e sei que sou oriundo Do trabalho telúrico do mundo, Da Terra no vultoso e imenso abdômen; Sofri, desde as intensas torpitudes Das larvas microscópicas e rudes, A infinita desgraça de ser homem. Na Terra, apenas fui terrível presa, Simbiose da dor e da tristeza, Durante penosíssimos minutos; A dor, essa tirânica incendiária, Abatia-me a vida solitária Como se eu fora bruto entre os mais brutos. Depois, voltei desse laboratório, Onde me revolvi como infusório, Como animálculo medonho, obscuro, Té atingir a evolução dos seres Conscientes de todos os deveres, Descortinando as luzes do futuro. E vejo os meus incógnitos problemas Iguais a horrendos e fatais dilemas, Enigmas insolúveis e profundos; Sombra egressa de lousa dura e fria, Grito ao mundo o meu grito que se alia A todos os anseios gemebundos: – “Homem! por mais que gastes teus fosfatos Não saberás, analisando os fatos, Inda que desintegres energias, A razão do completo e do incompleto, Como é que em homem se transforma o feto Entre os duzentos e setenta dias. A flor da laranjeira, a asa do inseto, Um estafermo e um Tales de Mileto, Como existiram, não perceberás; E nem compreenderás como se opera A mutação do inverno em primavera, E a transubstanciação da guerra em paz; Como vivem o novo e o obsoleto, O ângulo obtuso e o ângulo reto Dentro das linhas da Geometria; A luz de Miguel Angelo nas artes, E o espírito profundo de Descartes No eterno estudo da Filosofia. Porque existem as crianças e os macróbios Nas coletividades dos micróbios Que fazem a vida enferma e a vida sã; Os antigos remédios alopatas E as modernas dosagens homeopatas, Produto da experiência de Hahnemann. A psíquico-análise freudiana Tentando aprofundar a alma humana Com a mais requintadíssima vaidade, E as teorias do Espiritualismo Enchendo os homens todos de otimismo, Mostrando as luzes da imortalidade. Como vive o canário junto ao corvo, O céu iluminado, o inferno torvo Nos absconsos refolhos da consciência; O laconismo e a prolixidade, A atividade e a inatividade, A noite da ignorância e o sol da Ciência. As epidermes e as aponevroses, As grandes atonias e as nevroses, As atrações e as grandes repulsões, Que reunindo os átomos no solo Tecem a evolução de pólo a pólo, Em prodigiosas manifestações; Como os degenerados blastodermas Criam a descendência dos palermas No lupanar das pobres meretrizes, Junto dois palacetes higiênicos, Onde entre gozos fúlgidos e edênicos Cresce a alegre progênie dos felizes. Os lombricóides mínimos, os vermes, Em contraposição com os paquidermes, Assombrosas antíteses no mundo; É o gigante e o germe originário, Os milhões de corpúsculos do ovário, Onde há somente um óvulo fecundo. A alma pura do Cristo e a de Tibério, Vaso de carne podre, o cemitério, E o jardim rescendendo de perfumes; O doloroso e tetro cataclismo Da beleza louçã do organismo, Repleto de dejetos e de estrumes. As coisas substanciais e as coisas ocas, As idéias conexas e as loucas, A teoria cristã e Augusto Comte; E o desconhecido e o devassado, E o que é ilimitado e o limitado Na óptica ilusória do horizonte. Os terrenos povoados e o deserto, Aquilo que está longe e o que está perto; O que não tem sinal e o que tem marca; A funda simpatia e a antipatia, As atrofias e a hipertrofia, Como as tuberculoses e a anasarca. Os fenômenos todos geológicos, Psíquicos, científicos, sociológicos, Que inspiram pavor e inspiram medo, Homem! por mais que a idéia tua gastes, Na solução de todos os contrastes, Não saberás o cósmico segredo. E apesar da teoria mais abstrusa Dessa ciência inicial, confusa, A que se acolhem míseros ateus, Caminharás lutando além da cova, Para a Vida que eterna se renova, Buscando as perfeições do Amor em Deus.”"
Augusto dos Anjos,Voz Humana,"Uma voz. Duas vozes. Outras vozes. Milhões de vozes. Cosmopolitismos. Gritos de feras em paroxismos, Uivando subjugadas e ferozes. É a voz humana em intérminas nevroses, Seja nas concepções dos ateísmos, Ou mesmo vinculada a gnosticismos Nos singultos preagônicos, atrozes. É nessa eterna súplica angustiada Que eu vejo a dor em gozos, insaciada, Nutrir-se de famélicos prazeres. A dor, que gargalhando em nossas dores, É a obreira que tece os esplendores Da evolução onímoda dos seres."
Augusto dos Anjos,Alma,"Nos combates ciclópicos, titânicos, Que eu às vezes na Terra empreendia, Nos vastos campos da Psicologia, Buscava as almas, seres inorgânicos; Nas lágrimas, nos risos e nos pânicos, Nos distúrbios sutis da hipocondria, Nas defectividades da estesia, Nos instintos soezes e tirânicos, Somente achava corpos na existência, E o sangue em continuada efervescência Com impulsos terríficos e tredos. Enceguecido e louco então que eu era, Que não via, dos astros à monera, As luzes d'alma em trágicos segredos."
Augusto dos Anjos,Análise,"Oh! que desdita estranha a de nascermos Nas sombras melancólicas dos ermos, Nos recantos dos mundos inferiores, Onde a luz é penumbra tênue e vaga, Que, sem vigor, fraquíssima, se apaga Ao furacão indômito das dores. Voracidade onde a alma se mergulha, Apoucado Narciso que se orgulha Na profundeza ignota dos abismos Da carne, que, estrambótica, apodrece; Que atrofiada, hipertrófica, parece Cataclismo dos grandes cataclismos. Prendermo-nos ao fogo dos instintos, Serpentes entre escrófulas e helmintos, Multiplicando as lágrimas e os trismos, Tendo a alma – centelha, luz e chama – Amalgamada em pântanos de lama, Em sexualidades e histerismos. Misturarmos clarões de sentimentos Entre vísceras, nervos, tegumentos, Na agregação da carne e dos humores, Atrocidade das atrocidades; Enegrecermos luminosidades Na macabra esterqueira dos tumores. E nisto achar fantásticos prazeres, Ilusão hiperbólica dos seres Bestializados, materializados; Espíritos em ânsias retroativas, No transcorrer das vidas sucessivas, Nas ferezas do instinto, atassalhados. Mas a análise crua do que eu via, Hedionda lição de anatomia, É mais que uma atrevida aberração: Que se quebre o escalpelo de meus versos: Entreguemos a Deus seus universos Que elaboram a eterna evolução."
Augusto dos Anjos,Evolução,"Se devassássemos os labirintos Dos eternos princípios embrionários, A cadeia de impulsos e de instintos, Rudimentos dos seres planetários; Tudo o que a poeira cósmica elabora Em sua atividade interminável, O anseio da vida, a onda sonora, Que percorrem o espaço imensurável; Veríamos o evolver dos elementos, Das origens às súbitas asceses, Transformando-se em luz, em sentimentos, No assombroso prodígio das esteses; No profundo silêncio dos inermes, Inferiores e rudimentares, Nos rochedos, nas plantas e nos vermes, A mesma luz dos corpos estelares! É que, dos invisíveis microcosmos, Ao monólito enorme das idades, Tudo é clarão da evolução do cosmos, Imensidade nas imensidades! Nós já fomos os germes doutras eras, Enjaulados no cárcere das lutas; Viemos do principio das moneras, Buscando as perfeições absolutas."
Augusto dos Anjos,Homo,"Ao meu tétrico olhar abominável, O homem é fruto insólito da ânsia, Heterogeneidades da Substância, Argamassando um Todo miserável. Psique dolorosa e inexpressável Na mais remota epíspase da infância, Desde a mais abscôndita reentrância Da sua embriogenia detestável. Do intravascular princípio informe, Larva repugnante e vermiforme, Nos íntimos recôncavos da placenta. A quietação dos túmulos inermes, Era um feixe de mônadas de vermes, Dissolvidos na terra famulenta. Após a introspecção do Além da Morte, Vendo a terra que os próprios ossos come, Horrente a devorar com sede e fome Minhas carnes em lúbrico transporte, Vi que o “ego” era o alento flâmeo e forte Da luz mental que a morte não consome. Não há luta mavórtica que o dome, Ou venenada lâmina que o corte. Depois da estercorária microbiana, De que o planeta triste se engalana Nas grilhetas do infinitesimal, Volve o Espírito ao páramo celeste, Onde a divina essência se reveste Da substância fluida, universal."
Augusto dos Anjos,Incógnita,"Por que misterioso incompreensível Vomito ainda em náuseas para o mundo Todo o fel, toda a bílis do iracundo, Se eu já não tenho a bílis putrescível? Insondável arcano! por que inundo Meu exótico ser ultra-sensível Em plena luz e atendo ao gosto horrível De apostrofar o pobre corpo imundo? Fluidos teledinâmicos me servem, Transmitindo as idéias que me fervem No cérebro candente, ígneo, em brasa... De que concavidade do Universo Vem-me o açoite flamívomo do verso, Chama da mesma chama que me abrasa?"
Augusto dos Anjos,"“Ego sum"”,"Eu sou quem sou. Extremamente injusto Seria, então, se não vos declarasse, Se vos mentisse, se mistificasse No anonimato, sendo eu o Augusto. Sou eu que, com intelecto de arbusto, Jamais cri, e por mais que o procurasse, Quer com Darwin, com Haeckel, com Laplace, Levantar-me do leito de Procusto. Sou eu, que a rota etérica transponho Com a rapidez fantástica do sonho, Inexprimível nas termologias, O mesmo triste e estrábico produto, Atramente a gemer a mágoa e o luto, Nas mais contrárias idiossincrasias."
Augusto dos Anjos,Dentro da noite,"É noite. À Terra volvo. E, lúcido, entro Em relação com o mundo onde concentro O espírito na queixa atordoadora Da prisioneira, da perpétua grade, – A misérrima e pobre Humanidade, Aterradoramente sofredora! Ausculto a humana dor, que hórrida sinto, D'alma quebrando o cárcere do instinto, Buscando ávida a luz. Por mais que sonde, Mais o enigma do mundo se lhe aviva, Em diferenciação definitiva, Mais a luz desejada se lhe esconde! É o quadro mesológico, tremendo, De tudo o que ficou no abismo horrendo Da tenebrosa noite dos gemidos; São uivos dos instintos jamais hartos, As dores espasmódicas dos partos, A desgraça dos úteros falidos. É a ânsia afrodisíaca das bocas, Que nas bestialidades se unem loucas, Às bactérias mais vis ambas trocando; As dolorosas mágoas dos enfermos, Sentindo-se em seus leitos como em ermos, Deplorando o destino miserando. São os ais dos leprosos desprezados, Tendo os seus organismos devastados Pela fome insaciável dos micróbios, Sentindo os próprios membros carcomidos, Verminados, cruéis, apodrecidos, Plantando a dor no chão dos seus cenóbios... É o grito, o anseio, a lágrima do homem Agrilhoado aos prantos que o consomem, Preso às dores que se lhe agrilhoaram; É a imprecação de todos os lamentos Dentro do mundo de padecimentos, Dos desejos que não se realizaram. Pábulo sou dessa hórrida agonia E nos abismos de hiperestesia Experimento, além das catacumbas, Essa angústia indomável, atrocíssima, Junto da emanação requintadíssima Do ácido sulfídrico das tumbas, Trazendo dentro d'alma, envoltos na ânsia, Asco e dó, piedade e repugnância Pelo espírito e o corpo nauseabundo; E com os meus pensamentos desconexos, Vejo a guerra pestífera dos sexos, Abominando as coisas deste mundo. Terra!... e chegam-me fortes cheiros acres, Como o cheiro de sangue dos massacres, Fétido, coagulado, decomposto, Escorrendo num campo de batalhas Onde as almas se vestem de mortalhas, Desde o sol-posto, ao próximo sol-posto. Apavora-me o horror dessa miséria E fujo da imundície da matéria, Onde traguei meus grandes amargores; Fujo... E ainda transpondo o Azul sereno, Sinto em minhalma o tóxico, o veneno E a desdita dos seres sofredores."
